"","icpsr","FECcommittee","first","last","fullname","state","chamber","district","party","start","end","twitter","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","�..Numeric.counter.for.order.in.THOMAS.data.from.93rd...110th.Congresses","Legislator.name..as.given.in.THOMAS","Congress.number","Year.at.start.of.Congress","Two.letter.state.code","Congressional.district.number","X1...Democrat","Year.first.elected.to.House","X1...female","Percent.vote.received.to.enter.this.Congress","First.dimension.DW.NOMINATE.score","Size.of.House.delegation.from.member.s.state","X1..Speaker","X1...Chair.of.subcommittee..according.to.Almanac.of.American.Politics.and.Adler.W","Number.of.substantively.significant.bills.sponsored","Number.of.substantively.significant.bills.with.action.in.committee","Number.of.substantively.significant.bills.with.action.beyond.committee","Number.of.substantively.significant.bills.passed.House","Number.of.substantively.significant.bills.became.law","Number.of.substantive.bills.sponsored","Number.of.substantive.bills.with.action.in.committee","Number.of.substantive.bills.with.action.beyond.committee","Number.of.substantive.bills.passed.House","Number.of.substantive.bills.became.law","Number.of.commemorative.bills.sponsored","Number.of.commemorative.bills.with.action.in.committee","Number.of.commemorative.bills.with.action.beyond.committee","Number.of.commemorative.bills.passed.House","Number.of.commemorative.bills.became.law","X1...African.American","X1...Latino.a","votepct.squared","X1...Member.of.Appropriation..Rules..or.Ways.and.Means","X1...Chair..of.standing.committee.or.intellgence.homeland.sec.according.to.Stewar","X1...served.in.state.legislature","state_leg...state.legislature.professionalism","X1...majority.party.member","X1...Majority.party.leadership","X1...Minority.party.leadership","Absolute.distance.from.floor.median..DW.NOMINATE.","Absolute.distance.from.majority.party.median..DW.NOMINATE.","Total.bills.sponsored","Total.bills.with.action.in.committee","Total.bills.with.action.beyond.committee","Total.bills.passed.House","Total.bills.became.law","Legislative.Effectiveness.Score..1.5.10.","Lagged.LES","Seniority..number.of.terms.served.counting.current","benchmark","X1...Below..2...Meets..3...Exceeds","TotalInParty","RankInParty"
"244",20731,"C00419978","carol","sheaporter","carolsheaporter","NH","House",1,"D","1/4/2007","1/3/2019","RepSheaPorter",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8400,"Shea-Porter, Carol",111,2009,"NH",1,1,2006,1,52,-0.31400001,2,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,2704,0,0,0,0,1,0,0,0.13000001,0.03199999,22,2,0,0,0,0.538929385,0.325095326,2,0.761934519,2,269,169
"245",20733,"C00415331","yvette","clarke","yvetteclarke","NY","House",9,"D","1/4/2007","1/3/2019","VoteYvette",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8095,"Clarke, Yvette",111,2009,"NY",11,1,2006,1,93,-0.586000025,29,0,1,0,0,0,0,0,12,1,2,2,0,0,0,0,0,0,1,0,8649,0,0,0,0,1,0,0,0.40200004,0.240000024,12,1,2,2,0,0.748886505,0.367150843,2,1.066965699,2,269,146
"246",20733,"C00415331","yvette","clarke","yvetteclarke","NY","House",9,"D","1/4/2007","1/3/2019","repyvetteclarke",3,9363,0,0,4784,0.511,1,NA,NA,NA,8095,"Clarke, Yvette",111,2009,"NY",11,1,2006,1,93,-0.586000025,29,0,1,0,0,0,0,0,12,1,2,2,0,0,0,0,0,0,1,0,8649,0,0,0,0,1,0,0,0.40200004,0.240000024,12,1,2,2,0,0.748886505,0.367150843,2,1.066965699,2,269,146
"247",20735,"C00413914","kirsten","gillibrand","kirstengillibrand","NY","Senate",NA,"D","1/4/2007","1/3/2019","sengillibrand",0,14445,0,0,12923,0.895,1,NA,NA,NA,8169,"Gillibrand, Kirsten",111,2009,"NY",20,1,2006,1,62,NA,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0.292727947,2,0.761934519,1,269,269
"248",20735,"C00413914","kirsten","gillibrand","kirstengillibrand","NY","Senate",NA,"D","1/4/2007","1/3/2019","gillibrandny",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8169,"Gillibrand, Kirsten",111,2009,"NY",20,1,2006,1,62,NA,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0.292727947,2,0.761934519,1,269,269
"249",20737,"C00413393","heath","shuler","heathshuler","NC","House",11,"D","1/4/2007","1/3/2013","shuler4congress",6,0,1,0,NA,NA,1,NA,NA,NA,8403,"Shuler, Heath",111,2009,"NC",11,1,2006,0,62,-0.048,13,0,1,0,0,0,0,0,10,3,2,2,0,0,0,0,0,0,0,0,3844,0,0,0,0,1,0,0,0.135999992,0.298000008,10,3,2,2,0,0.952135939,0.668625653,2,1.066965699,2,269,122
"250",20737,"C00413393","heath","shuler","heathshuler","NC","House",11,"D","1/4/2007","1/3/2013","HeathShuler5",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8403,"Shuler, Heath",111,2009,"NC",11,1,2006,0,62,-0.048,13,0,1,0,0,0,0,0,10,3,2,2,0,0,0,0,0,0,0,0,3844,0,0,0,0,1,0,0,0.135999992,0.298000008,10,3,2,2,0,0.952135939,0.668625653,2,1.066965699,2,269,122
"251",20738,"C00416594","jim","jordan","jimjordan","OH","House",4,"R","1/4/2007","1/3/2019","jim_jordan",6,2153,0,0,1372,0.637,1,NA,NA,NA,8224,"Jordan, Jim",111,2009,"OH",4,0,2006,0,65,0.816999972,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4225,0,0,1,0.30399999,0,0,0,1.000999928,1.162999988,7,0,0,0,0,0.097906652,0.062668107,2,0.222108945,1,182,141
"252",20738,"C00416594","jim","jordan","jimjordan","OH","House",4,"R","1/4/2007","1/3/2019","Votejimjordan",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8224,"Jordan, Jim",111,2009,"OH",4,0,2006,0,65,0.816999972,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4225,0,0,1,0.30399999,0,0,0,1.000999928,1.162999988,7,0,0,0,0,0.097906652,0.062668107,2,0.222108945,1,182,141
"253",20740,"C00417816","betty","sutton","bettysutton","OH","House",13,"D","1/4/2007","1/3/2013","bettysutton",2,290,0,0,240,0.828,0,NA,NA,NA,8424,"Sutton, Betty",111,2009,"OH",13,1,2006,1,65,-0.425999999,18,0,0,1,0,1,1,1,10,1,2,1,0,0,0,0,0,0,0,0,4225,0,0,1,0.30399999,1,0,0,0.241999999,0.079999998,11,1,3,2,1,1.865343864,0.280194312,2,0.761934519,3,269,60
"254",20743,"C00413310","jason","altmire","jasonaltmire","PA","House",4,"D","1/4/2007","1/3/2013","jasonaltmire",7,3532,0,1,NA,NA,0,NA,NA,NA,8023,"Altmire, Jason",111,2009,"PA",4,1,2006,0,56,-0.136999995,19,0,1,1,1,1,1,1,11,0,0,0,0,1,1,1,1,1,0,0,3136,0,0,0,0,1,0,0,0.047000006,0.209000006,13,2,2,2,2,1.807769782,1.472207665,2,1.066965699,3,269,65
"255",20748,"C00422980","steve","cohen","stevecohen","TN","House",9,"D","1/4/2007","1/3/2019","repcohen",5,5803,1,0,4247,0.732,1,NA,NA,NA,8101,"Cohen, Steve",111,2009,"TN",9,1,2006,0,88,-0.411000013,9,0,1,0,0,0,0,0,35,5,4,4,1,1,0,0,0,0,0,0,7744,0,0,1,0.116999999,1,0,0,0.227000013,0.065000013,36,5,4,4,1,2.390722393,0.605282962,2,1.066965699,3,269,39
"256",20748,"C00422980","steve","cohen","stevecohen","TN","House",9,"D","1/4/2007","1/3/2019","ReElectCohen",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8101,"Cohen, Steve",111,2009,"TN",9,1,2006,0,88,-0.411000013,9,0,1,0,0,0,0,0,35,5,4,4,1,1,0,0,0,0,0,0,7744,0,0,1,0.116999999,1,0,0,0.227000013,0.065000013,36,5,4,4,1,2.390722393,0.605282962,2,1.066965699,3,269,39
"257",20749,"C00435099","bill","foster","billfoster","IL","House",11,"D","3/8/2008","1/3/2019","Foster4Congress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8158,"Foster, Bill",111,2009,"IL",14,1,2008,0,58,-0.211999997,19,0,0,0,0,0,0,0,11,0,0,0,0,1,0,1,1,1,0,0,3364,0,0,0,0,1,0,0,0.027999997,0.134000003,12,0,1,1,1,0.281087077,0.075201727,1,0.702585161,1,269,223
"258",20749,"C00435099","bill","foster","billfoster","IL","House",11,"D","3/8/2008","1/3/2019","repbillfoster",2,2300,0,0,1782,0.775,1,NA,NA,NA,8158,"Foster, Bill",111,2009,"IL",14,1,2008,0,58,-0.211999997,19,0,0,0,0,0,0,0,11,0,0,0,0,1,0,1,1,1,0,0,3364,0,0,0,0,1,0,0,0.027999997,0.134000003,12,0,1,1,1,0.281087077,0.075201727,1,0.702585161,1,269,223
"259",20750,"C00413179","peter","welch","peterwelch","VT","House",0,"D","1/4/2007","1/3/2019","peterwelch",5,1379,1,1,NA,NA,0,NA,NA,NA,8455,"Welch, Peter",111,2009,"VT",1,1,2006,0,83,-0.474000007,1,0,0,0,0,0,0,0,36,4,3,3,1,0,0,0,0,0,0,0,6889,0,0,1,0.143999994,1,0,0,0.290000021,0.128000006,36,4,3,3,1,2.053582768,1.51115036,2,0.761934519,3,269,50
"260",20753,"C00432955","paul","broun","paulbroun","GA","House",10,"R","7/25/2007","1/3/2015","paulbrounmd",0,1592,0,0,930,0.584,1,NA,NA,NA,8065,"Broun, Paul",111,2009,"GA",10,0,2007,0,61,0.970000029,13,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,0,0,1.154000044,1.315999985,16,0,0,0,0,0.223786634,0.306725264,2,0.222108945,2,182,105
"261",20753,"C00432955","paul","broun","paulbroun","GA","House",10,"R","7/25/2007","1/3/2015","paulbrounforga",3,1261,0,0,623,0.494,1,NA,NA,NA,8065,"Broun, Paul",111,2009,"GA",10,0,2007,0,61,0.970000029,13,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,0,0,1.154000044,1.315999985,16,0,0,0,0,0.223786634,0.306725264,2,0.222108945,2,182,105
"262",20754,"C00433136","niki","tsongas","nikitsongas","MA","House",3,"D","10/16/2007","1/3/2019","ntsongas",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8440,"Tsongas, Niki",111,2009,"MA",5,1,2007,1,99,-0.398000002,10,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,9801,0,0,0,0,1,0,0,0.214000002,0.052000001,14,2,0,0,0,0.427036068,0.329549998,2,0.761934519,2,269,194
"263",20754,"C00433136","niki","tsongas","nikitsongas","MA","House",3,"D","10/16/2007","1/3/2019","nikiinthehouse",2,5388,0,1,NA,NA,1,NA,NA,NA,8440,"Tsongas, Niki",111,2009,"MA",5,1,2007,1,99,-0.398000002,10,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,9801,0,0,0,0,1,0,0,0.214000002,0.052000001,14,2,0,0,0,0.427036068,0.329549998,2,0.761934519,2,269,194
"264",20755,"C00438697","robert","latta","robertlatta","OH","House",5,"R","12/13/2007","1/3/2019","boblatta",4,5744,0,1,NA,NA,1,NA,NA,NA,8251,"Latta, Robert",111,2009,"OH",5,0,2007,0,64,0.654999971,18,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,4096,0,0,1,0.30399999,0,0,0,0.838999987,1.000999928,14,0,0,0,0,0.184623973,0.025067244,2,0.222108945,2,182,115
"265",20755,"C00438697","robert","latta","robertlatta","OH","House",5,"R","12/13/2007","1/3/2019","latta4congress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8251,"Latta, Robert",111,2009,"OH",5,0,2007,0,64,0.654999971,18,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,4096,0,0,1,0.30399999,0,0,0,0.838999987,1.000999928,14,0,0,0,0,0.184623973,0.025067244,2,0.222108945,2,182,115
"266",20756,"C00441014","robert","wittman","robertwittman","VA","House",1,"R","12/13/2007","1/3/2019","ReElectWittman",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8461,"Wittman, Robert",111,2009,"VA",1,0,2007,0,57,0.584999979,11,0,0,0,0,0,0,0,13,3,2,2,1,0,0,0,0,0,0,0,3249,0,0,1,0.170000002,0,0,0,0.768999994,0.930999994,13,3,2,2,1,1.383560527,0.200145185,2,0.222108945,3,182,11
"267",20756,"C00441014","robert","wittman","robertwittman","VA","House",1,"R","12/13/2007","1/3/2019","robwittman",7,4584,1,1,NA,NA,1,NA,NA,NA,8461,"Wittman, Robert",111,2009,"VA",1,0,2007,0,57,0.584999979,11,0,0,0,0,0,0,0,13,3,2,2,1,0,0,0,0,0,0,0,3249,0,0,1,0.170000002,0,0,0,0.768999994,0.930999994,13,3,2,2,1,1.383560527,0.200145185,2,0.222108945,3,182,11
"268",20757,"C00442921","andre","carson","andrecarson","IN","House",7,"D","3/13/2008","1/3/2019","Andre4Congress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8085,"Carson, Andre",111,2009,"IN",7,1,2008,0,65,-0.395000011,9,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,1,0,4225,0,0,0,0,1,0,0,0.21100001,0.04900001,11,0,0,0,0,0.131474647,0.025067244,1,0.702585161,1,269,250
"269",20757,"C00442921","andre","carson","andrecarson","IN","House",7,"D","3/13/2008","1/3/2019","repandrecarson",7,3071,0,0,2539,0.827,1,NA,NA,NA,8085,"Carson, Andre",111,2009,"IN",7,1,2008,0,65,-0.395000011,9,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,1,0,4225,0,0,0,0,1,0,0,0.21100001,0.04900001,11,0,0,0,0,0.131474647,0.025067244,1,0.702585161,1,269,250
"270",20758,"C00408534","gus","bilirakis","gusbilirakis","FL","House",12,"R","1/4/2007","1/3/2019","Bilirakis",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8043,"Bilirakis, Gus",111,2009,"FL",9,0,2006,0,62,0.55400002,25,0,0,0,0,0,0,0,21,0,2,2,0,0,0,0,0,0,0,0,3844,0,0,1,0.254999995,0,0,0,0.738000035,0.900000036,21,0,2,2,0,0.759155105,0.816024721,2,0.222108945,3,182,33
"271",20758,"C00408534","gus","bilirakis","gusbilirakis","FL","House",12,"R","1/4/2007","1/3/2019","repgusbilirakis",3,5087,1,0,3888,0.764,1,NA,NA,NA,8043,"Bilirakis, Gus",111,2009,"FL",9,0,2006,0,62,0.55400002,25,0,0,0,0,0,0,0,21,0,2,2,0,0,0,0,0,0,0,0,3844,0,0,1,0.254999995,0,0,0,0.738000035,0.900000036,21,0,2,2,0,0.759155105,0.816024721,2,0.222108945,3,182,33
"272",20759,"C00394957","steve","scalise","stevescalise","LA","House",1,"R","5/7/2008","1/3/2019","GeauxScalise",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8385,"Scalise, Steve",111,2009,"LA",1,0,2008,0,66,0.742999971,7,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,4356,0,0,1,0.185000002,0,0,0,0.926999986,1.088999987,10,1,0,0,0,0.255478028,0.037600864,1,0.162759572,3,182,99
"273",20759,"C00394957","steve","scalise","stevescalise","LA","House",1,"R","5/7/2008","1/3/2019","stevescalise",1,6887,0,0,15,0.002,1,NA,NA,NA,8385,"Scalise, Steve",111,2009,"LA",1,0,2008,0,66,0.742999971,7,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,4356,0,0,1,0.185000002,0,0,0,0.926999986,1.088999987,10,1,0,0,0,0.255478028,0.037600864,1,0.162759572,3,182,99
