name,Chamber,Joined Congress,twitter,reelection,official
Tulsi Gabbard,House,01-03-13,TulsiPress,,1
Val Demings,House,01-03-17,val_demings,,
Val Demings,House,01-03-17,RepValDemings,,1
Van Taylor,House,01-03-19,VanTaylorTX,,
Van Taylor,House,01-03-19,RepVanTaylor,,1
Vern Buchanan,House,01-03-07,VernBuchanan,,1
Veronica Escobar,House,01-03-19,vgescobar,,
Veronica Escobar,House,01-03-19,RepEscobar,,1
Vicente González,House,01-03-17,vicentecongress,,
Vicente González,House,01-03-17,RepGonzalez,,1
Vicky Hartzler,House,01-03-11,VickyH4Congress,,
Vicky Hartzler,House,01-03-11,RepHartzler,,1
Virginia Foxx,House,01-03-05,foxxforcongress,,
Virginia Foxx,House,01-03-05,VirginiaFoxx,,1
Warren Davidson,House,06-07-16,Vote_Davidson,,
Warren Davidson,House,06-07-16,WarrenDavidson,,1
Will Hurd,House,01-03-15,WillHurd,,
Will Hurd,House,01-03-15,hurdonthehill,,1
William Timmons,House,01-03-19,votetimmons,,
William Timmons,House,01-03-19,RepTimmons,,1
Xochitl Torres Small,House,01-03-19,XochforCongress,,
Xochitl Torres Small,House,01-03-19,RepTorresSmall,,1
Yvette Clarke,House,01-03-13,VoteYvette,,
Yvette Clarke,House,01-03-13,RepYvetteClarke,,1
Zoe Lofgren,House,01-03-95,ZoeLofgren,,
Zoe Lofgren,House,01-03-95,RepZoeLofgren,,1
