"","icpsr","FECcommittee","first","last","fullname","state","chamber","district","party","start","end","twitter","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","�..Numeric.counter.for.order.in.THOMAS.data.from.93rd...110th.Congresses","Legislator.name..as.given.in.THOMAS","Congress.number","Year.at.start.of.Congress","Two.letter.state.code","Congressional.district.number","X1...Democrat","Year.first.elected.to.House","X1...female","Percent.vote.received.to.enter.this.Congress","First.dimension.DW.NOMINATE.score","Size.of.House.delegation.from.member.s.state","X1..Speaker","X1...Chair.of.subcommittee..according.to.Almanac.of.American.Politics.and.Adler.W","Number.of.substantively.significant.bills.sponsored","Number.of.substantively.significant.bills.with.action.in.committee","Number.of.substantively.significant.bills.with.action.beyond.committee","Number.of.substantively.significant.bills.passed.House","Number.of.substantively.significant.bills.became.law","Number.of.substantive.bills.sponsored","Number.of.substantive.bills.with.action.in.committee","Number.of.substantive.bills.with.action.beyond.committee","Number.of.substantive.bills.passed.House","Number.of.substantive.bills.became.law","Number.of.commemorative.bills.sponsored","Number.of.commemorative.bills.with.action.in.committee","Number.of.commemorative.bills.with.action.beyond.committee","Number.of.commemorative.bills.passed.House","Number.of.commemorative.bills.became.law","X1...African.American","X1...Latino.a","votepct.squared","X1...Member.of.Appropriation..Rules..or.Ways.and.Means","X1...Chair..of.standing.committee.or.intellgence.homeland.sec.according.to.Stewar","X1...served.in.state.legislature","state_leg...state.legislature.professionalism","X1...majority.party.member","X1...Majority.party.leadership","X1...Minority.party.leadership","Absolute.distance.from.floor.median..DW.NOMINATE.","Absolute.distance.from.majority.party.median..DW.NOMINATE.","Total.bills.sponsored","Total.bills.with.action.in.committee","Total.bills.with.action.beyond.committee","Total.bills.passed.House","Total.bills.became.law","Legislative.Effectiveness.Score..1.5.10.","Lagged.LES","Seniority..number.of.terms.served.counting.current","benchmark","X1...Below..2...Meets..3...Exceeds","TotalInParty","RankInParty"
"1",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","repjohnconyers",5,2538,0,0,1415,0.558,1,NA,NA,NA,9442,"Conyers, John",114,2015,"MI",13,1,1964,0,80,-0.658999979,14,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,6400,0,0,0,0,0,0,0,0.953000009,1.149999976,29,0,0,0,0,0.398233116,0.502640128,26,0.623438478,2,193,102
"2",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","johnconyersjr",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9442,"Conyers, John",114,2015,"MI",13,1,1964,0,80,-0.658999979,14,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,6400,0,0,0,0,0,0,0,0.953000009,1.149999976,29,0,0,0,0,0.398233116,0.502640128,26,0.623438478,2,193,102
"3",13035,"C00302422","charles","rangel","charlesrangel","NY","House",13,"D","1/21/1971","1/3/2017","charlesbrangel",NA,NA,NA,NA,NA,NA,1,1,15,NA,9688,"Rangel, Charles",114,2015,"NY",13,1,1970,0,87,-0.513999999,27,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,7569,1,0,1,0.514999986,0,0,0,0.808000028,1.004999995,11,0,0,0,0,0.140068203,0.480483592,23,0.617549419,1,193,159
"4",13035,"C00302422","charles","rangel","charlesrangel","NY","House",13,"D","1/21/1971","1/3/2017","cbrangel",6,7147,0,1,NA,NA,1,1,15,NA,9688,"Rangel, Charles",114,2015,"NY",13,1,1970,0,87,-0.513999999,27,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,7569,1,0,1,0.514999986,0,0,0,0.808000028,1.004999995,11,0,0,0,0,0.140068203,0.480483592,23,0.617549419,1,193,159
"5",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","repdonyoung",3,1359,1,1,NA,NA,1,NA,NA,NA,9803,"Young, Don",114,2015,"AK",1,0,1973,0,51,0.27700001,1,0,1,0,0,0,0,0,63,11,7,4,0,0,0,0,0,0,0,0,2601,0,0,1,0.319999993,1,0,0,0.01699999,0.213999987,63,11,7,4,0,2.977623701,6.301995277,22,1.445683837,3,250,22
"6",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","DonYoungAK",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9803,"Young, Don",114,2015,"AK",1,0,1973,0,51,0.27700001,1,0,1,0,0,0,0,0,63,11,7,4,0,0,0,0,0,0,0,0,2601,0,0,1,0.319999993,1,0,0,0.01699999,0.213999987,63,11,7,4,0,2.977623701,6.301995277,22,1.445683837,3,250,22
"7",14263,"C00499053","richard","nolan","richardnolan","MN","House",8,"D","1/14/1975","1/3/2019","usrepricknolan",5,2203,0,0,1678,0.762,1,NA,NA,NA,9654,"Nolan, Richard",114,2015,"MN",8,1,2012,0,49,-0.372000009,8,0,0,0,0,0,0,0,11,1,1,1,1,1,0,0,0,0,0,0,2401,0,0,1,0.210999995,0,0,0,0.666000009,0.863000035,12,1,1,1,1,0.957445562,2.856544733,2,0.576326191,3,193,41
"8",14263,"C00499053","richard","nolan","richardnolan","MN","House",8,"D","1/14/1975","1/3/2019","RickNolanMN",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9654,"Nolan, Richard",114,2015,"MN",8,1,2012,0,49,-0.372000009,8,0,0,0,0,0,0,0,11,1,1,1,1,1,0,0,0,0,0,0,2401,0,0,1,0.210999995,0,0,0,0.666000009,0.863000035,12,1,1,1,1,0.957445562,2.856544733,2,0.576326191,3,193,41
"9",14657,"C00083428","james","sensenbrenner","jamessensenbrenner","WI","House",5,"R","1/15/1979","1/3/2019","jimpressoffice",4,1017,0,1,NA,NA,0,NA,NA,NA,9735,"Sensenbrenner, F.",114,2015,"WI",5,0,1978,0,70,0.646000028,8,0,1,1,1,1,1,1,35,6,6,2,1,0,0,0,0,0,0,0,4900,0,0,1,0.43900001,1,0,0,0.352000028,0.155000031,36,7,7,3,2,3.940120459,2.068677902,19,1.439794779,3,250,12
"10",14854,"C00116632","harold","rogers","haroldrogers","KY","House",5,"R","1/5/1981","1/3/2019","rephalrogers",6,3095,0,1,NA,NA,0,NA,NA,NA,9701,"Rogers, Harold",114,2015,"KY",5,0,1980,0,78,0.670000017,6,0,0,1,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,6084,1,1,0,0,1,0,0,0.376000017,0.17900002,3,0,2,2,1,1.674385428,5.99363327,18,2.978626728,2,250,69
"11",14863,"C00096412","christopher","smith","christophersmith","NJ","House",4,"R","1/5/1981","1/3/2019","repchrissmith",2,962,0,0,825,0.858,0,NA,NA,NA,9748,"Smith, Christopher",114,2015,"NJ",4,0,1980,0,68,0.158000007,12,0,1,0,0,0,0,0,35,8,9,8,4,1,0,0,0,0,0,0,4624,0,0,0,0,1,0,0,0.135999992,0.333000004,36,8,9,8,4,4.97326088,4.853465557,18,1.437831759,3,250,6
