icpsr,first,last,fullname,state,chamber,district,party,start,end,twitter,fold,num.tweets,done.handle.no.file,missing,tweets.svd,prop.tweets,has.alt
21127,bob,dold,bobdold,IL,House,NA,R,01/05/2011,01/03/2017,ROBERTDOLD,,,,,,,1
20717,joe,donnelly,joedonnelly,IN,Senate,NA,D,01/04/2007,01/03/2019,sendonnelly,7,4211,0,1,NA,NA,1
20717,joe,donnelly,joedonnelly,IN,Senate,NA,D,01/04/2007,01/03/2019,JoeforIndiana,,,,,,,1
NA,daniel,donovan,danieldonovan,NY,House,11,R,05/12/2015,01/03/2019,dandonovan_ny,1,667,1,1,NA,NA,1
NA,daniel,donovan,danieldonovan,NY,House,11,R,05/12/2015,01/03/2019,RepDanDonovan,,,,,,,1
29561,michael,doyle,michaeldoyle,PA,House,14,D,01/04/1995,01/03/2019,usrepmikedoyle,1,749,0,0,590,0.788,0
14813,david,dreier,daviddreier,CA,House,NA,R,01/05/1981,01/03/2013,daviddreierusa,7,4,1,0,NA,NA,0
21325,tammy,duckworth,tammyduckworth,IL,Senate,NA,D,01/03/2013,01/03/2023,senduckworth,4,2448,1,0,2232,0.912,1
21325,tammy,duckworth,tammyduckworth,IL,Senate,NA,D,01/03/2013,01/03/2023,TammyforIL,,,,,,,1
21325,tammy,duckworth,tammyduckworth,IL,Senate,NA,D,01/03/2013,01/03/2023,tammyduckworth,,,,,,,1
21189,sean,duffy,seanduffy,WI,House,7,R,01/05/2011,01/03/2019,repseanduffy,5,3591,0,0,2849,0.793,1
21189,sean,duffy,seanduffy,WI,House,7,R,01/05/2011,01/03/2019,Duffy4Wisconsin,,,,,,,1
21174,jeff,duncan,jeffduncan,SC,House,3,R,01/05/2011,01/03/2019,repjeffduncan,2,6271,0,1,NA,NA,0
15455,john,duncan,johnduncan,TN,House,2,R,11/08/1988,01/03/2019,repjohnduncanjr,4,596,0,0,484,0.812,0
NA,neal,dunn,nealdunn,FL,House,2,R,01/03/2017,01/03/2019,drnealdunnfl2,7,177,0,0,114,0.644,1
,neal,dunn,nealdunn,FL,House,2,R,01/03/2017,01/03/2019,DunnCampaign,,,,,,,1
15021,richard,durbin,richarddurbin,IL,Senate,NA,D,01/03/1983,01/03/2021,senatordurbin,6,8763,0,0,7853,0.896,1
15021,richard,durbin,richarddurbin,IL,Senate,NA,D,01/03/1983,01/03/2021,DickDurbin,,,,,,,1
20763,donna,edwards,donnaedwards,MD,House,NA,D,6/19/2008,01/03/2017,repdonnaedwards,3,6398,0,0,5229,0.817,1
20763,donna,edwards,donnaedwards,MD,House,NA,D,6/19/2008,01/03/2017,DonnaFEdwards,,,,,,,1
20727,keith,ellison,keithellison,MN,House,5,D,01/04/2007,01/03/2019,keithellison,1,16784,1,1,NA,NA,1
20727,keith,ellison,keithellison,MN,House,5,D,01/04/2007,01/03/2019,EllisonCampaign,,,,,,,1
