icpsr,first,last,fullname,state,chamber,district,party,start,end,twitter,fold,num.tweets,done.handle.no.file,missing,tweets.svd,prop.tweets,has.alt
20925,gregg,harper,greggharper,MS,House,3,R,01/06/2009,01/03/2019,HarperCampaign,,,,,,,1
NA,kamala,harris,kamalaharris,CA,Senate,NA,D,01/03/2017,01/03/2023,kamalaharris,3,5066,0,0,913,0.18,0
21139,andy,harris,andyharris,MD,House,1,R,01/05/2011,01/03/2019,repandyharrismd,2,2553,0,0,1641,0.643,1
21139,andy,harris,andyharris,MD,House,1,R,01/05/2011,01/03/2019,Harris4Congress,,,,,,,1
21149,vicky,hartzler,vickyhartzler,MO,House,4,R,01/05/2011,01/03/2019,rephartzler,0,5119,0,0,4626,0.904,1
21149,vicky,hartzler,vickyhartzler,MO,House,4,R,01/05/2011,01/03/2019,VickyH4Congress,,,,,,,1
NA,margaret,hassan,margarethassan,NH,Senate,NA,D,01/03/2017,01/03/2023,senatorhassan,5,3900,0,0,504,0.129,1
NA,margaret,hassan,margarethassan,NH,Senate,NA,D,01/03/2017,01/03/2023,Maggie_Hassan,,,,,,,1
29580,doc,hastings,dochastings,WA,House,NA,R,01/04/1995,01/03/2015,dochastings,0,809,0,0,575,0.711,0
29337,alcee,hastings,alceehastings,FL,House,20,D,01/05/1993,01/03/2019,rephastingsfl,6,741,0,0,544,0.734,1
29337,alcee,hastings,alceehastings,FL,House,20,D,01/05/1993,01/03/2019,alcee4congress,,,,,,,1
14503,orrin,hatch,orrinhatch,UT,Senate,NA,R,01/04/1977,01/03/2019,senorrinhatch,2,6403,0,1,NA,NA,1
14503,orrin,hatch,orrinhatch,UT,Senate,NA,R,01/04/1977,01/03/2019,OrrinHatch,,,,,,,1
21155,nan,hayworth,nanhayworth,NY,House,NA,R,01/05/2011,01/03/2013,nanhayworth,5,27,1,1,NA,NA,0
21369,denny,heck,dennyheck,WA,House,10,D,01/03/2013,01/03/2019,repdennyheck,0,2586,1,0,1646,0.637,1
21369,denny,heck,dennyheck,WA,House,10,D,01/03/2013,01/03/2019,DennyHeck,,,,,,,1
20930,martin,heinrich,martinheinrich,NM,Senate,NA,D,01/06/2009,01/03/2019,martinheinrich,2,3508,0,0,2980,0.849,1
20930,martin,heinrich,martinheinrich,NM,Senate,NA,D,01/06/2009,01/03/2019,TeamHeinrich,,,,,,,1
41303,heidi,heitkamp,heidiheitkamp,ND,Senate,NA,D,01/03/2013,01/03/2019,senatorheitkamp,0,8063,0,0,7403,0.918,1
41303,heidi,heitkamp,heidiheitkamp,ND,Senate,NA,D,01/03/2013,01/03/2019,HeidiHeitkamp,,,,,,,1
20730,dean,heller,deanheller,NV,Senate,NA,R,01/04/2007,01/03/2019,sendeanheller,5,5561,0,1,NA,NA,1
20730,dean,heller,deanheller,NV,Senate,NA,R,01/04/2007,01/03/2019,DeanHeller,,,,,,,1
20352,jeb,hensarling,jebhensarling,TX,House,5,R,01/07/2003,01/03/2019,rephensarling,1,796,0,0,638,0.802,0
21187,jaime,herrerabeutler,jaimeherrerabeutler,WA,House,3,R,01/05/2011,01/03/2019,herrerabeutler,7,490,0,0,466,0.951,1
21187,jaime,herrerabeutler,jaimeherrerabeutler,WA,House,3,R,01/05/2011,01/03/2019,JaimeForUSRep,,,,,,,1
NA,jody,hice,jodyhice,GA,House,10,R,01/06/2015,01/03/2019,congressmanhice,4,1144,1,0,841,0.735,1
NA,jody,hice,jodyhice,GA,House,10,R,01/06/2015,01/03/2019,jodyhice,,,,,,,1
NA,clay,higgins,clayhiggins,LA,House,3,R,01/03/2017,01/03/2019,captclayhiggins,4,684,0,0,66,0.096,1
,clay,higgins,clayhiggins,LA,House,3,R,01/03/2017,01/03/2019,RepClayHiggins,,,,,,,1
20519,brian,higgins,brianhiggins,NY,House,26,D,01/04/2005,01/03/2019,repbrianhiggins,3,11732,1,0,8996,0.767,0
NA,french,hill,frenchhill,AR,House,2,R,01/06/2015,01/03/2019,repfrenchhill,7,1264,0,0,1092,0.864,1
NA,french,hill,frenchhill,AR,House,2,R,01/06/2015,01/03/2019,ElectFrench,,,,,,,1
20907,james,himes,jameshimes,CT,House,4,D,01/06/2009,01/03/2019,jahimes,7,7650,0,1,NA,NA,0
29380,maurice,hinchey,mauricehinchey,NY,House,NA,D,01/05/1993,01/03/2013,mauricehinchey,4,279,0,1,NA,NA,0
29763,rubén,hinojosa,rubénhinojosa,TX,House,NA,D,01/07/1997,01/03/2017,usreprhinojosa,6,2126,0,0,2003,0.942,1
29763,rubén,hinojosa,rubénhinojosa,TX,House,NA,D,01/07/1997,01/03/2017,Ruben_Hinojosa,,,,,,,1
20713,mazie,hirono,maziehirono,HI,Senate,NA,D,01/04/2007,01/03/2019,maziehirono,4,4372,0,1,NA,NA,1
20713,mazie,hirono,maziehirono,HI,Senate,NA,D,01/04/2007,01/03/2019,mazieforhawaii,,,,,,,1
21194,kathleen,hochul,kathleenhochul,NY,House,NA,D,06/01/2011,01/03/2013,repkathyhochul,3,847,0,0,798,0.942,1
21194,kathleen,hochul,kathleenhochul,NY,House,NA,D,06/01/2011,01/03/2013,KathyHochul,,,,,,,1
21194,kathleen,hochul,kathleenhochul,NY,House,NA,D,06/01/2011,01/03/2013,LtGovHochulNY,,,,,,,1
41107,john,hoeven,johnhoeven,ND,Senate,NA,R,01/05/2011,01/03/2023,senjohnhoeven,3,1909,0,0,1730,0.906,1
41107,john,hoeven,johnhoeven,ND,Senate,NA,R,01/05/2011,01/03/2023,hoeven4senate,,,,,,,1
29396,tim,holden,timholden,PA,House,NA,D,01/05/1993,01/03/2013,timholdenpa17,3,26,0,0,26,1,0
21349,george,holding,georgeholding,NC,House,2,R,01/03/2013,01/03/2019,repholding,2,639,0,0,569,0.89,1
21349,george,holding,georgeholding,NC,House,2,R,01/03/2013,01/03/2019,GeorgeHolding,,,,,,,1
NA,trey,hollingsworth,treyhollingsworth,IN,House,9,R,01/03/2017,01/03/2019,reptrey,2,68,0,0,58,0.853,1
,trey,hollingsworth,treyhollingsworth,IN,House,9,R,01/03/2017,01/03/2019,VoteForTrey,,,,,,,1
29923,rush,holt,rushholt,NJ,House,NA,D,01/06/1999,01/03/2015,rushholt,0,867,0,0,11,0.013,0
20103,michael,honda,michaelhonda,CA,House,NA,D,01/03/2001,01/03/2017,repmikehonda,6,2930,0,0,2262,0.772,1
20103,michael,honda,michaelhonda,CA,House,NA,D,01/03/2001,01/03/2017,mikehonda17,,,,,,,1
21339,steven,horsford,stevenhorsford,NV,House,NA,D,01/03/2013,01/03/2015,rephorsford,0,1608,0,0,1318,0.82,1
21339,steven,horsford,stevenhorsford,NV,House,NA,D,01/03/2013,01/03/2015,StevenHorsford,,,,,,,1
14873,steny,hoyer,stenyhoyer,MD,House,5,D,01/05/1981,01/03/2019,whiphoyer,3,11981,0,0,10014,0.836,1
14873,steny,hoyer,stenyhoyer,MD,House,5,D,01/05/1981,01/03/2019,StenyHoyer,,,,,,,1
21346,richard,hudson,richardhudson,NC,House,8,R,01/03/2013,01/03/2019,reprichhudson,3,4763,0,0,3876,0.814,1
21346,richard,hudson,richardhudson,NC,House,8,R,01/03/2013,01/03/2019,RichHudson,,,,,,,1
21134,tim,huelskamp,timhuelskamp,KS,House,NA,R,01/05/2011,01/03/2017,conghuelskamp,6,7026,0,0,6300,0.897,1
21134,tim,huelskamp,timhuelskamp,KS,House,NA,R,01/05/2011,01/03/2017,TimHuelskamp,,,,,,,1
21303,jared,huffman,jaredhuffman,CA,House,2,D,01/03/2013,01/03/2019,jaredhuffman,5,3821,0,0,1202,0.315,1
21303,jared,huffman,jaredhuffman,CA,House,2,D,01/03/2013,01/03/2019,rephuffman,4,1716,1,0,1082,0.631,1
21142,bill,huizenga,billhuizenga,MI,House,2,R,01/05/2011,01/03/2019,rephuizenga,1,5489,0,0,4719,0.86,1
21142,bill,huizenga,billhuizenga,MI,House,2,R,01/05/2011,01/03/2019,billhuizenga,,,,,,,1
21129,randy,hultgren,randyhultgren,IL,House,14,R,01/05/2011,01/03/2019,rephultgren,1,4279,0,0,2774,0.648,1
21129,randy,hultgren,randyhultgren,IL,House,14,R,01/05/2011,01/03/2019,RandyHultgren,,,,,,,1
20963,duncan,hunter,duncanhunter,CA,House,50,R,01/06/2009,01/03/2019,rep_hunter,3,294,0,0,194,0.66,0
NA,will,hurd,willhurd,TX,House,23,R,01/06/2015,01/03/2019,hurdonthehill,3,3416,1,0,1870,0.547,1
NA,will,hurd,willhurd,TX,House,23,R,01/06/2015,01/03/2019,WillHurd,,,,,,,1
21186,robert,hurt,roberthurt,VA,House,NA,R,01/05/2011,01/03/2017,reproberthurt,4,2630,0,0,2410,0.916,1
21186,robert,hurt,roberthurt,VA,House,NA,R,01/05/2011,01/03/2017,RobertHurt,,,,,,,1
49306,kay,hutchison,kayhutchison,TX,Senate,NA,R,01/05/1993,01/03/2013,kaybaileyhutch,3,4249,0,1,NA,NA,0
,cindy,hydesmith,cindyhydesmith,MS,Senate,NA,R,,,SenHydeSmith,,,,,,,1
,cindy,hydesmith,cindyhydesmith,MS,Senate,NA,R,,,cindyhydesmith,,,,,,,1
15424,james,inhofe,jamesinhofe,OK,Senate,NA,R,01/06/1987,01/03/2021,inhofepress,7,5980,0,0,4407,0.737,1
15424,james,inhofe,jamesinhofe,OK,Senate,NA,R,01/06/1987,01/03/2021,jiminhofe,4,980,0,0,782,0.798,1
4812,daniel,inouye,danielinouye,HI,Senate,NA,D,01/07/1959,12/17/2012,daniel_inouye,2,2107,0,0,1454,0.69,0
29937,jay,inslee,jayinslee,WA,House,NA,D,01/05/1993,3/20/2012,jayinslee,6,1565,0,0,458,0.293,1
29937,jay,inslee,jayinslee,WA,House,NA,D,01/05/1993,3/20/2012,GovInslee,,,,,,,1
29909,john,isakson,johnisakson,GA,Senate,NA,R,01/06/1999,01/03/2023,senatorisakson,3,3303,1,0,2819,0.853,1
29909,john,isakson,johnisakson,GA,Senate,NA,R,01/06/1999,01/03/2023,JohnnyIsakson,,,,,,,1
20129,steve,israel,steveisrael,NY,House,NA,D,01/03/2001,01/03/2017,repsteveisrael,4,4469,0,0,3508,0.785,1
20129,steve,israel,steveisrael,NY,House,NA,D,01/03/2001,01/03/2017,BySteveIsrael,,,,,,,1
20107,darrell,issa,darrellissa,CA,House,49,R,01/03/2001,01/03/2019,darrellissa,7,20543,0,0,16601,0.808,1
20107,darrell,issa,darrellissa,CA,House,49,R,01/03/2001,01/03/2019,TeamIssa,,,,,,,1
29573,sheila,jacksonlee,sheilajacksonlee,TX,House,18,D,01/04/1995,01/03/2019,jacksonleetx18,4,4367,0,0,856,0.196,1
29573,sheila,jacksonlee,sheilajacksonlee,TX,House,18,D,01/04/1995,01/03/2019,TX18CongWOMAN,,,,,,,1
NA,pramila,jayapal,pramilajayapal,WA,House,7,D,01/03/2017,01/03/2019,repjayapal,7,2688,0,0,443,0.165,1
,pramila,jayapal,pramilajayapal,WA,House,7,D,01/03/2017,01/03/2019,PramilaJayapal,,,,,,,1
21343,hakeem,jeffries,hakeemjeffries,NY,House,8,D,01/03/2013,01/03/2019,repjeffries,3,2111,0,0,474,0.225,0
NA,evan,jenkins,evanjenkins,WV,House,3,R,01/06/2015,01/03/2019,repevanjenkins,3,1836,0,0,1197,0.652,1
NA,evan,jenkins,evanjenkins,WV,House,3,R,01/06/2015,01/03/2019,EvanJenkinsWV,,,,,,,1
20915,lynn,jenkins,lynnjenkins,KS,House,2,R,01/06/2009,01/03/2019,replynnjenkins,2,5351,0,0,4890,0.914,1
20915,lynn,jenkins,lynnjenkins,KS,House,2,R,01/06/2009,01/03/2019,lynnjenkins,,,,,,,1
40905,mike,johanns,mikejohanns,NE,Senate,NA,R,01/06/2009,01/03/2015,mike_johanns,7,7,1,0,NA,NA,1
40905,mike,johanns,mikejohanns,NE,Senate,NA,R,01/06/2009,01/03/2015,SecJohanns,,,,,,,1
21162,bill,johnson,billjohnson,OH,House,6,R,01/05/2011,01/03/2019,repbilljohnson,2,4580,0,0,32,0.007,1
21162,bill,johnson,billjohnson,OH,House,6,R,01/05/2011,01/03/2019,JohnsonLeads,,,,,,,1
39305,eddie,johnson,eddiejohnson,TX,House,30,D,01/05/1993,01/03/2019,repebj,5,7680,0,0,6186,0.805,0
20712,henry,johnson,henryjohnson,GA,House,4,D,01/04/2007,01/03/2019,rephankjohnson,4,3532,0,0,2197,0.622,1
20712,henry,johnson,henryjohnson,GA,House,4,D,01/04/2007,01/03/2019,ReElectHank,,,,,,,1
NA,mike,johnson,mikejohnson,LA,House,4,R,01/03/2017,01/03/2019,repmikejohnson,6,128,0,0,93,0.727,0
20116,timothy,johnson,timothyjohnson,IL,House,NA,R,01/03/2001,01/03/2013,reptimjohnson,0,284,0,1,NA,NA,0
29143,sam,johnson,samjohnson,TX,House,3,R,01/03/1991,01/03/2019,samspressshop,1,947,0,0,840,0.887,0
15425,tim,johnson,timjohnson,SD,Senate,NA,D,01/06/1987,01/03/2015,senjohnsonsd,4,1365,0,0,1242,0.91,0
41111,ron,johnson,ronjohnson,WI,Senate,NA,R,01/05/2011,01/03/2023,senronjohnson,7,3382,1,0,2970,0.878,1
41111,ron,johnson,ronjohnson,WI,Senate,NA,R,01/05/2011,01/03/2023,RonJohnsonWI,,,,,,,1
NA,david,jolly,davidjolly,FL,House,NA,R,03/11/2014,01/03/2017,usrepdavidjolly,6,1803,0,0,1488,0.825,1
NA,david,jolly,davidjolly,FL,House,NA,R,03/11/2014,01/03/2017,DavidJollyFL,,,,,,,1
,doug,jones,dougjones,AL,Senate,NA,D,,,SenDougJones,,,,,,,1
,doug,jones,dougjones,AL,Senate,NA,D,,,DougJones,,,,,,,1
29546,walter,jones,walterjones,NC,House,3,R,01/04/1995,01/03/2019,repwalterjones,1,1863,1,1,NA,NA,0
20738,jim,jordan,jimjordan,OH,House,4,R,01/04/2007,01/03/2019,jim_jordan,6,2153,0,0,1372,0.637,1
20738,jim,jordan,jimjordan,OH,House,4,R,01/04/2007,01/03/2019,Votejimjordan,,,,,,,1
21353,david,joyce,davidjoyce,OH,House,14,R,01/03/2013,01/03/2019,repdavejoyce,6,3074,0,0,2646,0.861,1
21353,david,joyce,davidjoyce,OH,House,14,R,01/03/2013,01/03/2019,DaveJoyceOH14,,,,,,,1
41305,timothy,kaine,timothykaine,VA,Senate,NA,D,01/03/2013,01/03/2019,timkaine,5,7807,0,1,NA,NA,0
15029,marcy,kaptur,marcykaptur,OH,House,9,D,01/03/1983,01/03/2019,repmarcykaptur,5,2476,0,0,1861,0.752,1
15029,marcy,kaptur,marcykaptur,OH,House,9,D,01/03/1983,01/03/2019,Marcy_Kaptur,,,,,,,1
NA,john,katko,johnkatko,NY,House,24,R,01/06/2015,01/03/2019,repjohnkatko,2,385,0,0,174,0.452,0
40901,edward,kaufman,edwardkaufman,DE,Senate,NA,D,1/16/2009,11/15/2010,usstk,4,11,1,0,NA,NA,0
21140,william,keating,williamkeating,MA,House,9,D,01/05/2011,01/03/2019,usrepkeating,7,1166,0,0,1073,0.92,1
21140,william,keating,williamkeating,MA,House,9,D,01/05/2011,01/03/2019,WilliamKeating,,,,,,,1
21167,mike,kelly,mikekelly,PA,House,3,R,01/05/2011,01/03/2019,mikekellypa,1,1742,0,0,1475,0.847,1
21167,mike,kelly,mikekelly,PA,House,3,R,01/05/2011,01/03/2019,MikeKellyforPA,,,,,,,1
21371,robin,kelly,robinkelly,IL,House,2,D,04/09/2013,01/03/2019,reprobinkelly,4,1908,1,1,NA,NA,1
21371,robin,kelly,robinkelly,IL,House,2,D,04/09/2013,01/03/2019,RobinLynneKelly,,,,,,,1
NA,trent,kelly,trentkelly,MS,House,1,R,06/09/2015,01/03/2019,reptrentkelly,7,542,0,0,455,0.839,0
21371,robin,kelly,robinkelly,IL,House,2,D,04/09/2013,01/03/2019,robin42cd,6,3890,0,0,2406,0.619,1
21335,joseph,kennedy,josephkennedy,MA,House,4,D,01/03/2013,01/03/2019,repjoekennedy,7,3219,0,0,2168,0.674,1
21335,joseph,kennedy,josephkennedy,MA,House,4,D,01/03/2013,01/03/2019,joekennedy,,,,,,,1
NA,john,kennedy,johnkennedy,LA,Senate,NA,R,01/03/2017,01/03/2023,senjohnkennedy,0,222,0,0,150,0.676,1
,john,kennedy,johnkennedy,LA,Senate,NA,R,01/03/2017,01/03/2023,JohnKennedyLA,,,,,,,1
14920,john,kerry,johnkerry,MA,Senate,NA,D,01/03/1985,02/01/2013,johnkerry,2,2252,0,0,26,0.012,0
NA,ro,khanna,rokhanna,CA,House,17,D,01/03/2017,01/03/2019,reprokhanna,5,712,0,0,465,0.653,1
,ro,khanna,rokhanna,CA,House,17,D,01/03/2017,01/03/2019,RoKhanna,,,,,,,1
NA,ro,khanna,rokhanna,CA,House,17,D,01/03/2017,01/03/2019,rokhannausa,3,3549,0,0,499,0.141,1
NA,ruben,kihuen,rubenkihuen,NV,House,4,D,01/03/2017,01/03/2019,repkihuen,0,678,0,0,325,0.479,1
,ruben,kihuen,rubenkihuen,NV,House,4,D,01/03/2017,01/03/2019,RubenKihuen,,,,,,,1
21372,daniel,kildee,danielkildee,MI,House,5,D,01/03/2013,01/03/2019,repdankildee,2,3893,1,1,NA,NA,1
21372,daniel,kildee,danielkildee,MI,House,5,D,01/03/2013,01/03/2019,dankildee,,,,,,,1
21368,derek,kilmer,derekkilmer,WA,House,6,D,01/03/2013,01/03/2019,repderekkilmer,1,1485,0,1,NA,NA,1
21368,derek,kilmer,derekkilmer,WA,House,6,D,01/03/2013,01/03/2019,DerekKilmer,,,,,,,1
29769,ron,kind,ronkind,WI,House,3,D,01/07/1997,01/03/2019,repronkind,5,1034,0,0,944,0.913,1
29769,ron,kind,ronkind,WI,House,3,D,01/07/1997,01/03/2019,KindforCongress,,,,,,,1
29375,peter,king,peterking,NY,House,2,R,01/05/1993,01/03/2019,reppeteking,0,2280,0,0,2018,0.885,1
29375,peter,king,peterking,NY,House,2,R,01/05/1993,01/03/2019,congpeteking,,,,,,,1
41300,angus,king,angusking,ME,Senate,NA,I,01/03/2013,01/03/2019,senangusking,3,2680,1,1,NA,NA,1
41300,angus,king,angusking,ME,Senate,NA,I,01/03/2013,01/03/2019,AngusKing2018,,,,,,,1
20325,steve,king,steveking,IA,House,4,R,01/07/2003,01/03/2019,stevekingia,3,1790,0,0,1254,0.701,0
29338,jack,kingston,jackkingston,GA,House,NA,R,01/05/1993,01/03/2015,jackkingston,1,2452,0,0,1361,0.555,0
21128,adam,kinzinger,adamkinzinger,IL,House,16,R,01/05/2011,01/03/2019,repkinzinger,4,5807,0,1,NA,NA,1
21128,adam,kinzinger,adamkinzinger,IL,House,16,R,01/05/2011,01/03/2019,AdamKinzinger,,,,,,,1
20115,mark,kirk,markkirk,IL,Senate,NA,R,01/03/2001,01/03/2017,senatorkirk,7,6592,0,0,5907,0.896,1
20115,mark,kirk,markkirk,IL,Senate,NA,R,01/03/2001,01/03/2017,MarkKirk,,,,,,,1
20902,ann,kirkpatrick,annkirkpatrick,AZ,House,NA,D,01/06/2009,01/03/2017,ann_kirkpatrick,5,3204,0,0,3071,0.958,0
20333,john,kline,johnkline,MN,House,NA,R,01/07/2003,01/03/2017,repjohnkline,3,3053,0,0,2565,0.84,1
20333,john,kline,johnkline,MN,House,NA,R,01/07/2003,01/03/2017,Kline4Congress,,,,,,,1
40700,amy,klobuchar,amyklobuchar,MN,Senate,NA,D,01/04/2007,01/03/2019,amyklobuchar,1,5399,0,1,NA,NA,1
40700,amy,klobuchar,amyklobuchar,MN,Senate,NA,D,01/04/2007,01/03/2019,SenAmyKlobuchar,,,,,,,1
NA,steve,knight,steveknight,CA,House,25,R,01/06/2015,01/03/2019,steveknight25,2,335,0,0,271,0.809,1
NA,steve,knight,steveknight,CA,House,25,R,01/06/2015,01/03/2019,Knight4Congress,,,,,,,1
NA,steve,knight,steveknight,CA,House,25,R,01/06/2015,01/03/2019,unofficialsk,2,64,1,0,7,0.109,1
NA,raja,krishnamoorthi,rajakrishnamoorthi,IL,House,8,D,01/03/2017,01/03/2019,congressmanraja,5,377,1,0,223,0.592,1
,raja,krishnamoorthi,rajakrishnamoorthi,IL,House,8,D,01/03/2017,01/03/2019,RajaForCongress,,,,,,,1
29748,dennis,kucinich,denniskucinich,OH,House,NA,D,01/07/1997,01/03/2013,dennis_kucinich,0,855,0,0,243,0.284,1
29748,dennis,kucinich,denniskucinich,OH,House,NA,D,01/07/1997,01/03/2013,repkucinich,1,609,0,0,563,0.924,1
21340,ann,kuster,annkuster,NH,House,2,D,01/03/2013,01/03/2019,repanniekuster,2,2513,1,1,NA,NA,1
21340,ann,kuster,annkuster,NH,House,2,D,01/03/2013,01/03/2019,AnnMcLaneKuster,,,,,,,1
NA,david,kustoff,davidkustoff,TN,House,8,R,01/03/2017,01/03/2019,repdavidkustoff,5,128,0,1,NA,NA,1
,david,kustoff,davidkustoff,TN,House,8,R,01/03/2017,01/03/2019,DavidKustoff,,,,,,,1
15429,jon,kyl,jonkyl,AZ,Senate,NA,R,01/06/1987,01/03/2013,senjonkyl,1,146,0,0,115,0.788,0
21125,raul,labrador,raullabrador,ID,House,1,R,01/05/2011,01/03/2019,raul_labrador,6,1755,0,0,1591,0.907,1
21125,raul,labrador,raullabrador,ID,House,1,R,01/05/2011,01/03/2019,RaulLabrador4ID,,,,,,,1
NA,darin,lahood,darinlahood,IL,House,18,R,9/17/2015,01/03/2019,replahood,7,602,0,0,461,0.766,1
NA,darin,lahood,darinlahood,IL,House,18,R,9/17/2015,01/03/2019,ElectLaHood,,,,,,,1
21302,doug,lamalfa,douglamalfa,CA,House,1,R,01/03/2013,01/03/2019,replamalfa,4,349,0,0,256,0.734,1
21302,doug,lamalfa,douglamalfa,CA,House,1,R,01/03/2013,01/03/2019,DougLaMalfa,,,,,,,1
,conor,lamb,conorlamb,PA,House,18,D,,,ConorLambPA,,,,,,,1
,conor,lamb,conorlamb,PA,House,18,D,,,RepConorLamb,,,,,,,1
20704,doug,lamborn,douglamborn,CO,House,5,R,01/04/2007,01/03/2019,repdlamborn,1,3337,0,1,NA,NA,1
20704,doug,lamborn,douglamborn,CO,House,5,R,01/04/2007,01/03/2019,DougLambornCD5,,,,,,,1
20929,leonard,lance,leonardlance,NJ,House,7,R,01/06/2009,01/03/2019,replancenj7,0,1429,0,0,1174,0.822,1
20929,leonard,lance,leonardlance,NJ,House,7,R,01/06/2009,01/03/2019,LeonardLanceNJ7,,,,,,,1
49702,mary,landrieu,marylandrieu,LA,Senate,NA,D,01/07/1997,01/03/2015,senlandrieu,7,2054,0,0,1642,0.799,1
49702,mary,landrieu,marylandrieu,LA,Senate,NA,D,01/07/1997,01/03/2015,MaryLandrieu,,,,,,,1
21138,jeff,landry,jefflandry,LA,House,NA,R,01/05/2011,01/03/2013,jefflandry,1,1606,0,0,686,0.427,1
21138,jeff,landry,jefflandry,LA,House,NA,R,01/05/2011,01/03/2013,LandryForLA,,,,,,,1
20136,james,langevin,jameslangevin,RI,House,2,D,01/03/2001,01/03/2019,jimlangevin,2,8385,1,0,7958,0.949,0
21166,james,lankford,jameslankford,OK,Senate,NA,R,01/05/2011,01/03/2023,senatorlankford,4,4182,0,1,NA,NA,1
21166,james,lankford,jameslankford,OK,Senate,NA,R,01/05/2011,01/03/2023,jameslankford,,,,,,,1
20145,rick,larsen,ricklarsen,WA,House,2,D,01/03/2001,01/03/2019,repricklarsen,1,5282,0,0,3454,0.654,1
20145,rick,larsen,ricklarsen,WA,House,2,D,01/03/2001,01/03/2019,larsenrick,,,,,,,1
29908,john,larson,johnlarson,CT,House,1,D,01/06/1999,01/03/2019,repjohnlarson,3,2165,0,1,NA,NA,1
29908,john,larson,johnlarson,CT,House,1,D,01/06/1999,01/03/2019,JohnLarsonCT,,,,,,,1
29522,tom,latham,tomlatham,IA,House,NA,R,01/04/1995,01/03/2015,tomlatham,2,1348,0,0,1215,0.901,0
29553,steven,latourette,stevenlatourette,OH,House,NA,R,01/04/1995,01/03/2013,latourette,2,52,0,0,3,0.058,0
20755,robert,latta,robertlatta,OH,House,5,R,12/13/2007,01/03/2019,boblatta,4,5744,0,1,NA,NA,1
20755,robert,latta,robertlatta,OH,House,5,R,12/13/2007,01/03/2019,latta4congress,,,,,,,1
14914,frank,lautenberg,franklautenberg,NJ,Senate,NA,D,12/27/1982,06/03/2013,franklautenberg,6,1805,0,0,1749,0.969,1
14914,frank,lautenberg,franklautenberg,NJ,Senate,NA,D,12/27/1982,06/03/2013,Lautenberg4NJ,,,,,,,1
NA,brenda,lawrence,brendalawrence,MI,House,14,D,01/06/2015,01/03/2019,replawrence,5,2895,0,0,2165,0.748,1
NA,brenda,lawrence,brendalawrence,MI,House,14,D,01/06/2015,01/03/2019,BrendaLLawrence,,,,,,,1
NA,al,lawson,allawson,FL,House,5,D,01/03/2017,01/03/2019,repallawsonjr,1,104,0,0,45,0.433,1
,al,lawson,allawson,FL,House,5,D,01/03/2017,01/03/2019,AlLawsonJr,,,,,,,1
14307,patrick,leahy,patrickleahy,VT,Senate,NA,D,1/14/1975,01/03/2023,senatorleahy,0,9929,0,1,NA,NA,1
14307,patrick,leahy,patrickleahy,VT,Senate,NA,D,1/14/1975,01/03/2023,PatrickLeahy,,,,,,,1
29778,barbara,lee,barbaralee,CA,House,13,D,04/07/1998,01/03/2019,repbarbaralee,1,6267,1,0,4807,0.767,1
29778,barbara,lee,barbaralee,CA,House,13,D,04/07/1998,01/03/2019,BLeeForCongress,,,,,,,1
41110,mike,lee,mikelee,UT,Senate,NA,R,01/05/2011,01/03/2023,senmikelee,5,4080,0,0,3036,0.744,1
41110,mike,lee,mikelee,UT,Senate,NA,R,01/05/2011,01/03/2023,MikeLeeforUtah,,,,,,,1
40911,george,lemieux,georgelemieux,FL,Senate,NA,R,09/10/2009,01/03/2011,george_lemieux,6,2352,0,0,347,0.148,0
15033,sander,levin,sanderlevin,MI,House,9,D,01/03/1983,01/03/2019,repsandylevin,1,2412,0,1,NA,NA,1
15033,sander,levin,sanderlevin,MI,House,9,D,01/03/1983,01/03/2019,Levin4Congress,,,,,,,1
14709,carl,levin,carllevin,MI,Senate,NA,D,1/15/1979,01/03/2015,sencarllevin,2,915,0,0,701,0.766,0
NA,jason,lewis,jasonlewis,MN,House,2,R,01/03/2017,01/03/2019,repjasonlewis,6,241,0,0,133,0.552,1
,jason,lewis,jasonlewis,MN,House,2,R,01/03/2017,01/03/2019,Jason2CD,,,,,,,1
14644,jerry,lewis,jerrylewis,CA,House,NA,R,1/15/1979,01/03/2013,repjerrylewis,1,245,0,0,175,0.714,0
15431,john,lewis,johnlewis,GA,House,5,D,01/06/1987,01/03/2019,repjohnlewis,0,1721,0,1,NA,NA,0
15704,joseph,lieberman,josephlieberman,CT,Senate,NA,I,01/03/1989,01/03/2013,joelieberman,1,745,0,1,NA,NA,0
NA,ted,lieu,tedlieu,CA,House,33,D,01/06/2015,01/03/2019,reptedlieu,5,2493,0,0,1582,0.635,1
NA,ted,lieu,tedlieu,CA,House,33,D,01/06/2015,01/03/2019,tedlieu,,,,,,,1
29305,blanche,lincoln,blanchelincoln,AR,Senate,NA,D,01/05/1993,01/03/2011,blanche4senate,4,1780,0,0,1371,0.77,0
20508,daniel,lipinski,daniellipinski,IL,House,3,D,01/04/2005,01/03/2019,replipinski,4,1548,0,0,1194,0.771,0
29539,frank,lobiondo,franklobiondo,NJ,House,2,R,01/04/1995,01/03/2019,replobiondo,3,3448,0,0,2733,0.793,0
20720,david,loebsack,davidloebsack,IA,House,2,D,01/04/2007,01/03/2019,daveloebsack,4,771,1,1,NA,NA,1
20720,david,loebsack,davidloebsack,IA,House,2,D,01/04/2007,01/03/2019,DaveForIowa,,,,,,,1
