handle,count,start_date,protected
JohnBoozman,6298,2007-04-27 16:05:52,False
Boozman4AR,1816,2010-02-05 19:18:28,False
danboren,0,2009-06-22 03:33:04,True
RepBost,2343,2015-01-06 19:55:08,False
BostForCongress,572,2014-01-08 17:28:40,False
RepMikeBost,39,2013-04-03 15:54:29,False
LeonardBoswell,185,2009-02-02 03:44:14,False
SenatorBoxer,2229,2008-07-15 16:02:13,False
BarbaraBoxer,4739,2008-08-22 01:39:19,False
RepBrendanBoyle,8237,2010-12-27 16:31:09,False
CongBoyle,4597,2015-11-20 20:17:53,False
RepKevinBrady,13971,2009-02-02 19:57:06,False
bradyfortexas,1863,2012-05-03 14:14:11,False
BruceBraley,6241,2009-04-06 21:08:54,False
DaveBratVA7th,3486,2014-01-06 13:35:12,False
RepJBridenstine,1431,2013-01-15 17:33:38,False
JimBridenstine,2003,2011-01-27 00:32:51,False
RepMoBrooks,3406,2011-01-12 14:46:14,False
mobrooksforsen,76,2017-05-15 11:30:27,False
MoInTheHouse,220,2009-08-24 00:29:51,False
SusanWBrooks,7248,2013-01-09 15:30:38,False
SusanBrooksIN,708,2011-07-28 17:58:19,False
PaulBrounforGA,1289,2010-09-27 21:08:31,False
PaulBrounMD,1581,2009-01-09 19:06:27,False
AnthonyBrownMD4,2108,2013-04-24 21:06:33,False
RepAnthonyBrown,3681,2017-01-23 15:28:24,False
SenScottBrown,6488,2009-03-26 19:02:25,False
SenSherrodBrown,7085,2009-06-01 16:07:45,False
SherrodBrown,6126,2009-03-16 21:01:17,False
JuliaBrownley26,1,2017-10-25 18:15:28,False
JuliaBrownley,653,2009-06-03 00:44:33,False
VernBuchanan,2954,2009-02-09 21:05:19,False
RepKenBuck,2118,2014-11-05 14:49:30,False
BuckForColorado,2070,2009-04-24 15:52:58,False
RepLarryBucshon,5961,2011-01-06 16:45:56,False
DrLarryBucshon,1122,2009-10-08 22:10:16,False
RepTedBudd,2276,2017-01-05 22:39:33,False
buddforcongress,919,2016-04-13 20:49:40,False
annmbuerkle,93,2010-11-22 03:07:42,False
michaelcburgess,6696,2008-08-06 15:25:19,False
SenatorBurr,3985,2009-02-18 01:53:03,False
BurrForSenate,1483,2010-11-08 17:26:29,False
rolandwburris,50,2009-06-30 13:44:51,False
danburton,231,2008-07-10 15:18:46,False
RepCheri,5713,2013-01-15 19:15:03,False
CheriBustos,2847,2011-02-24 22:19:22,False
GKButterfield,6221,2011-12-09 17:17:22,False
RepByrne,15670,2013-12-19 19:42:18,False
BradleyByrne,3751,2009-05-25 20:36:05,False
KenCalvert,6547,2009-03-02 22:30:20,False
TeamCalvert,411,2010-04-29 21:56:33,False
RepJohnCampbell,73,2011-12-09 13:43:59,False
QuicoCanseco,53,2014-04-16 16:15:11,False
EricCantor,7716,2009-01-12 04:57:20,False
GOPLeader,13675,2009-01-29 22:28:48,False
SenatorCantwell,9058,2010-02-25 19:21:52,False
MariaCantwell,833,2009-04-26 21:18:09,False
SenCapito,9691,2010-09-22 18:06:14,False
CapitoforWV,1584,2010-06-23 22:59:25,False
RepLoisCapps,2768,2011-05-04 15:39:31,False
mikecapuano,1237,2009-09-20 13:23:50,False
RepCarbajal,3389,2017-01-03 05:42:06,False
RepCardenas,8333,2013-02-26 16:12:35,False
SenatorCardin,11284,2010-01-27 22:03:53,False
BenCardinforMD,1926,2011-04-06 16:02:24,False
RepCardoza,170,2010-01-22 23:01:03,False
russcarnahan,32,2008-09-09 22:02:04,False
JohnCarneyDE,4591,2011-01-13 15:58:13,False
SenatorCarper,9523,2011-02-09 19:46:42,False
TomCarperforDE,1077,2011-09-28 15:33:14,False
RepAndreCarson,4481,2010-10-06 15:47:50,False
Andre4Congress,597,2011-03-16 18:20:47,False
JudgeCarter,6747,2008-12-10 21:00:58,False
JudgeJohnCarter,3668,2011-11-03 20:15:13,False
RepBuddyCarter,2253,2015-01-12 00:33:43,False
Buddy_Carter,2909,2011-05-09 14:52:58,False
RepCartwright,2602,2012-08-23 20:05:56,False
CartwrightPA,862,2012-01-23 20:37:26,False
SenBobCasey,11103,2010-07-27 18:38:20,False
Bob_Casey,1176,2009-12-02 19:10:41,False
BillCassidy,6684,2009-07-10 22:02:55,False
USRepKCastor,7823,2013-09-18 20:03:57,False
KathyCastorFL,1925,2016-07-21 13:49:20,False
JoaquinCastrotx,16885,2010-12-28 18:41:02,False
Castro4Congress,10421,2011-06-24 20:49:05,False
RepSteveChabot,4057,2011-01-13 15:03:08,False
SteveChabot,410,2009-03-11 15:14:08,False
jasoninthehouse,12206,2008-12-02 04:59:53,False
SaxbyChambliss,861,2012-03-27 14:03:27,False
RepLizCheney,750,2017-01-04 18:55:49,False
Liz_Cheney,2153,2009-12-21 21:06:44,False
ChiesaNews,31,2013-06-27 15:07:39,False
RepJudyChu,6034,2010-09-22 15:18:17,False
JudyChuCampaign,150,2012-08-31 06:13:56,False
davidcicilline,20885,2009-03-10 13:53:21,False
RepCicilline,6815,2012-01-12 16:26:40,False
RepKClark,7084,2014-01-15 18:53:47,False
KatherineClark,2002,2009-03-07 15:27:48,False
HansenClarke,819,2010-05-30 19:03:09,False
RepYvetteClarke,13231,2011-01-20 20:14:21,False
VoteYvette,1425,2012-04-10 13:55:58,False
RepCurtClawson,1185,2014-08-13 19:15:51,False
LacyClayMO1,24372,2012-05-19 16:41:06,False
repcleaver,7787,2010-07-06 19:14:47,False
Vote4Cleaver,1206,2012-09-04 00:09:44,False
