"","icpsr","FECcommittee","first","last","fullname","state","chamber","district","party","start","end","twitter","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","�..Numeric.counter.for.order.in.THOMAS.data.from.93rd...110th.Congresses","Legislator.name..as.given.in.THOMAS","Congress.number","Year.at.start.of.Congress","Two.letter.state.code","Congressional.district.number","X1...Democrat","Year.first.elected.to.House","X1...female","Percent.vote.received.to.enter.this.Congress","First.dimension.DW.NOMINATE.score","Size.of.House.delegation.from.member.s.state","X1..Speaker","X1...Chair.of.subcommittee..according.to.Almanac.of.American.Politics.and.Adler.W","Number.of.substantively.significant.bills.sponsored","Number.of.substantively.significant.bills.with.action.in.committee","Number.of.substantively.significant.bills.with.action.beyond.committee","Number.of.substantively.significant.bills.passed.House","Number.of.substantively.significant.bills.became.law","Number.of.substantive.bills.sponsored","Number.of.substantive.bills.with.action.in.committee","Number.of.substantive.bills.with.action.beyond.committee","Number.of.substantive.bills.passed.House","Number.of.substantive.bills.became.law","Number.of.commemorative.bills.sponsored","Number.of.commemorative.bills.with.action.in.committee","Number.of.commemorative.bills.with.action.beyond.committee","Number.of.commemorative.bills.passed.House","Number.of.commemorative.bills.became.law","X1...African.American","X1...Latino.a","votepct.squared","X1...Member.of.Appropriation..Rules..or.Ways.and.Means","X1...Chair..of.standing.committee.or.intellgence.homeland.sec.according.to.Stewar","X1...served.in.state.legislature","state_leg...state.legislature.professionalism","X1...majority.party.member","X1...Majority.party.leadership","X1...Minority.party.leadership","Absolute.distance.from.floor.median..DW.NOMINATE.","Absolute.distance.from.majority.party.median..DW.NOMINATE.","Total.bills.sponsored","Total.bills.with.action.in.committee","Total.bills.with.action.beyond.committee","Total.bills.passed.House","Total.bills.became.law","Legislative.Effectiveness.Score..1.5.10.","Lagged.LES","Seniority..number.of.terms.served.counting.current","benchmark","X1...Below..2...Meets..3...Exceeds","TotalInParty","RankInParty"
"1",2605,"C00002600","john","dingell","johndingell","MI","House",12,"D","1/5/1955","1/3/2015","johndingell",3,4762,0,0,1100,0.231,0,NA,NA,NA,8582,"Dingell, John",112,2011,"MI",15,1,1955,0,57,-0.412,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3249,0,0,0,0,0,0,0,0.870000005,1.085999966,5,0,0,0,0,0.06710507,4.042333126,29,1.162785292,1,204,189
"2",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","repjohnconyers",5,2538,0,0,1415,0.558,1,NA,NA,NA,8555,"Conyers, John",112,2011,"MI",14,1,1964,0,77,-0.610000014,15,0,0,0,0,0,0,0,32,2,3,3,2,2,1,1,1,0,1,0,5929,0,0,0,0,0,0,0,1.067999959,1.284000039,34,3,4,4,2,2.530175209,7.028338909,24,1.011318922,3,204,1
"3",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","johnconyersjr",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8555,"Conyers, John",112,2011,"MI",14,1,1964,0,77,-0.610000014,15,0,0,0,0,0,0,0,32,2,3,3,2,2,1,1,1,0,1,0,5929,0,0,0,0,0,0,0,1.067999959,1.284000039,34,3,4,4,2,2.530175209,7.028338909,24,1.011318922,3,204,1
"4",13035,"C00302422","charles","rangel","charlesrangel","NY","House",13,"D","1/21/1971","1/3/2017","charlesbrangel",NA,NA,NA,NA,NA,NA,1,1,15,NA,8803,"Rangel, Charles",112,2011,"NY",15,1,1970,0,80,-0.423000008,29,0,0,0,0,0,0,0,15,0,0,0,0,3,1,1,1,0,1,0,6400,1,0,1,0.514999986,0,0,0,0.880999982,1.097000003,18,1,1,1,0,0.290276676,12.277215,21,0.920439124,1,204,116
"5",13035,"C00302422","charles","rangel","charlesrangel","NY","House",13,"D","1/21/1971","1/3/2017","cbrangel",6,7147,0,1,NA,NA,1,1,15,NA,8803,"Rangel, Charles",112,2011,"NY",15,1,1970,0,80,-0.423000008,29,0,0,0,0,0,0,0,15,0,0,0,0,3,1,1,1,0,1,0,6400,1,0,1,0.514999986,0,0,0,0.880999982,1.097000003,18,1,1,1,0,0.290276676,12.277215,21,0.920439124,1,204,116
"6",14053,"C00020974","fortney","stark","fortneystark","CA","House",13,"D","1/3/1973","1/3/2013","petestark",4,0,1,0,NA,NA,0,NA,NA,NA,8867,"Stark, Fortney",112,2011,"CA",13,1,1972,0,72,-0.714999974,53,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5184,1,0,0,0,0,0,0,1.172999978,1.388999939,15,0,0,0,0,0.201315194,0.400557548,20,0.890145838,1,204,140
"7",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","repdonyoung",3,1359,1,1,NA,NA,1,NA,NA,NA,8915,"Young, Don",112,2011,"AK",1,0,1973,0,69,0.510999978,1,0,1,0,0,0,0,0,62,12,7,3,1,2,1,1,1,1,0,0,4761,0,0,1,0.319999993,1,0,0,0.052999977,0.163000017,64,13,8,4,2,4.129578114,1.873918176,20,1.76187861,3,245,15
"8",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","DonYoungAK",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8915,"Young, Don",112,2011,"AK",1,0,1973,0,69,0.510999978,1,0,1,0,0,0,0,0,62,12,7,3,1,2,1,1,1,1,0,0,4761,0,0,1,0.319999993,1,0,0,0.052999977,0.163000017,64,13,8,4,2,4.129578114,1.873918176,20,1.76187861,3,245,15
"9",14256,"C00026757","george","miller","georgemiller","CA","House",11,"D","1/14/1975","1/3/2015","askgeorge",4,2519,0,1,NA,NA,0,1,7,NA,8755,"Miller, George",112,2011,"CA",7,1,1974,0,68,-0.657000005,53,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,0,0,1.11500001,1.33099997,13,1,0,0,0,0.282587796,6.514735222,19,0.859852552,1,204,117
"10",14280,"C00013128","henry","waxman","henrywaxman","CA","House",33,"D","1/14/1975","1/3/2015","WaxmanHenry",NA,NA,NA,NA,NA,NA,1,1,30,NA,8897,"Waxman, Henry",112,2011,"CA",30,1,1974,0,65,-0.463999987,53,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,4225,0,0,1,0.625999987,0,0,0,0.921999991,1.138000011,3,1,1,1,0,0.110435113,4.172420979,19,0.859852552,1,204,173
"11",14280,"C00013128","henry","waxman","henrywaxman","CA","House",33,"D","1/14/1975","1/3/2015","waxmanclimate",5,794,0,1,NA,NA,1,1,30,NA,8897,"Waxman, Henry",112,2011,"CA",30,1,1974,0,65,-0.463999987,53,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,4225,0,0,1,0.625999987,0,0,0,0.921999991,1.138000011,3,1,1,1,0,0.110435113,4.172420979,19,0.859852552,1,204,173
"12",14290,"C00305342","ronald","paul","ronaldpaul","TX","House",14,"R","1/14/1975","1/3/2013","ronpaul",5,3861,0,0,932,0.241,0,NA,NA,NA,8780,"Paul, Ron",112,2011,"TX",14,0,1996,0,76,1.292999983,32,0,1,0,0,0,0,0,51,4,1,1,0,0,0,0,0,0,0,0,5776,0,0,0,0,1,0,0,0.834999979,0.618999958,51,4,1,1,0,1.41336,1.706591487,8,1.398359299,2,245,75
"13",14435,"C00196774","edward","markey","edwardmarkey","MA","Senate",NA,"D","1/14/1975","1/3/2021","senmarkey",2,8902,1,1,NA,NA,1,NA,NA,NA,8731,"Markey, Edward",112,2011,"MA",7,1,1976,0,66,-0.564999998,10,0,0,0,0,0,0,0,49,2,1,0,0,2,1,1,1,0,0,0,4356,0,0,1,0.331999987,0,0,0,1.023000002,1.238999963,51,3,2,1,0,1.079933405,1.551304102,18,0.829559267,2,204,24
"14",14435,"C00196774","edward","markey","edwardmarkey","MA","Senate",NA,"D","1/14/1975","1/3/2021","EdMarkey",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8731,"Markey, Edward",112,2011,"MA",7,1,1976,0,66,-0.564999998,10,0,0,0,0,0,0,0,49,2,1,0,0,2,1,1,1,0,0,0,4356,0,0,1,0.331999987,0,0,0,1.023000002,1.238999963,51,3,2,1,0,1.079933405,1.551304102,18,0.829559267,2,204,24
"15",14448,"C00081356","nick","rahall","nickrahall","WV","House",3,"D","1/4/1977","1/3/2015","repnickrahall",7,294,0,0,256,0.871,0,NA,NA,NA,8802,"Rahall, Nick",112,2011,"WV",3,1,1976,0,56,-0.323000014,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,0,0,0.781000018,0.997000039,10,0,0,0,0,0.13421014,2.937633514,18,0.829559267,1,204,164
"16",14644,"C00090357","jerry","lewis","jerrylewis","CA","House",41,"R","1/15/1979","1/3/2013","repjerrylewis",1,245,0,0,175,0.714,0,NA,NA,NA,8712,"Lewis, Jerry",112,2011,"CA",41,0,1978,0,63,0.561999977,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,1,0,1,0.625999987,1,0,0,0.10399998,0.112000026,0,0,0,0,0,0,0.274677575,17,1.313782096,1,245,245
"17",14647,"C00390955","daniel","lungren","daniellungren","CA","House",3,"R","1/15/1979","1/3/2013","dan_lungren",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8724,"Lungren, Daniel",112,2011,"CA",3,0,2004,0,50,0.712000012,53,0,1,1,1,1,1,1,24,7,7,5,1,0,0,0,0,0,0,0,2500,0,1,0,0,1,0,0,0.254000008,0.038000014,25,8,8,6,2,4.999941349,1.315946341,4,4.973026752,2,245,12
"18",14647,"C00390955","daniel","lungren","daniellungren","CA","House",3,"R","1/15/1979","1/3/2013","repdanlungren",5,465,0,0,405,0.871,1,NA,NA,NA,8724,"Lungren, Daniel",112,2011,"CA",3,0,2004,0,50,0.712000012,53,0,1,1,1,1,1,1,24,7,7,5,1,0,0,0,0,0,0,0,2500,0,1,0,0,1,0,0,0.254000008,0.038000014,25,8,8,6,2,4.999941349,1.315946341,4,4.973026752,2,245,12
"19",14657,"C00083428","james","sensenbrenner","jamessensenbrenner","WI","House",5,"R","1/15/1979","1/3/2019","jimpressoffice",4,1017,0,1,NA,NA,0,NA,NA,NA,8850,"Sensenbrenner, F.",112,2011,"WI",5,0,1978,0,69,1.200000048,8,0,1,1,0,1,1,1,30,7,6,3,1,0,0,0,0,0,0,0,4761,0,0,1,0.43900001,1,0,0,0.742000043,0.526000023,31,7,7,4,2,4.391175747,0.442517549,17,1.670998812,3,245,13
"20",14813,"C00088658","david","dreier","daviddreier","CA","House",26,"R","1/5/1981","1/3/2013","daviddreierusa",7,4,1,0,NA,NA,0,NA,NA,NA,8587,"Dreier, David",112,2011,"CA",26,0,1980,0,54,0.59799999,53,0,0,1,0,1,0,0,6,3,1,1,0,0,0,0,0,0,0,0,2916,1,1,0,0,1,0,0,0.139999986,0.076000012,7,3,2,1,0,0.967736185,0.083919987,16,4.979329586,1,245,109
"21",14824,"C00128868","barney","frank","barneyfrank","MA","House",4,"D","1/5/1981","1/3/2013","barneyfrank",3,223,1,1,NA,NA,0,NA,NA,NA,8611,"Frank, Barney",112,2011,"MA",4,1,1980,0,54,-0.563000023,10,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,2916,0,0,1,0.331999987,0,0,0,1.021000028,1.236999989,30,3,0,0,0,0.726974249,7.994784355,16,0.768972754,2,204,48
"22",14854,"C00116632","harold","rogers","haroldrogers","KY","House",5,"R","1/5/1981","1/3/2019","rephalrogers",6,3095,0,1,NA,NA,0,NA,NA,NA,8816,"Rogers, Harold",112,2011,"KY",5,0,1980,0,77,0.531000018,6,0,0,3,0,3,3,3,5,0,1,1,1,0,0,0,0,0,0,0,5929,1,1,0,0,1,0,0,0.073000021,0.142999977,8,0,4,4,4,5.403813839,0.02797333,16,4.979329586,2,245,9
"23",14863,"C00096412","christopher","smith","christophersmith","NJ","House",4,"R","1/5/1981","1/3/2019","repchrissmith",2,962,0,0,825,0.858,0,NA,NA,NA,8860,"Smith, Christopher",112,2011,"NJ",4,0,1980,0,69,0.38499999,13,0,1,0,0,0,0,0,29,7,7,4,2,0,0,0,0,0,0,0,4761,0,0,0,0,1,0,0,0.073000006,0.289000005,29,7,7,4,2,3.600029469,0.944699824,16,1.640705466,3,245,22
"24",14869,"C00166017","frank","wolf","frankwolf","VA","House",10,"R","1/5/1981","1/3/2015","repwolfpress",4,350,0,0,326,0.931,0,NA,NA,NA,8907,"Wolf, Frank",112,2011,"VA",10,0,1980,0,63,0.509000003,11,0,1,2,2,2,1,0,13,0,2,2,1,0,0,0,0,0,0,0,3969,1,0,0,0,1,0,0,0.051000003,0.164999992,15,2,4,3,1,2.540382862,0.197167084,16,1.640705466,3,245,39
"25",14873,"C00140715","steny","hoyer","stenyhoyer","MD","House",5,"D","1/5/1981","1/3/2019","StenyHoyer",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8667,"Hoyer, Steny",112,2011,"MD",5,1,1981,0,64,-0.32100001,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4096,0,0,1,0.203999996,0,0,1,0.778999984,0.995000005,3,0,0,0,0,0.040263038,1.042763591,16,0.768972754,1,204,193
"26",14873,"C00140715","steny","hoyer","stenyhoyer","MD","House",5,"D","1/5/1981","1/3/2019","whiphoyer",3,11981,0,0,10014,0.836,1,NA,NA,NA,8667,"Hoyer, Steny",112,2011,"MD",5,1,1981,0,64,-0.32100001,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4096,0,0,1,0.203999996,0,0,1,0.778999984,0.995000005,3,0,0,0,0,0.040263038,1.042763591,16,0.768972754,1,204,193
"27",15000,"C00165241","gary","ackerman","garyackerman","NY","House",5,"D","1/3/1983","1/3/2013","repgaryackerman",5,281,0,0,255,0.907,0,NA,NA,NA,8468,"Ackerman, Gary",112,2011,"NY",5,1,1983,0,63,-0.363000005,29,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3969,0,0,1,0.514999986,0,0,0,0.82099998,1.03700006,7,1,0,0,0,0.202061713,0.237773299,15,0.738679469,1,204,138
"28",15005,"C00147686","howard","berman","howardberman","CA","House",28,"D","1/3/1983","1/3/2013","rephowardberman",4,158,1,0,NA,NA,1,NA,NA,NA,8493,"Berman, Howard",112,2011,"CA",28,1,1982,0,70,-0.338999987,53,0,0,0,0,0,0,0,18,2,2,2,1,0,0,0,0,0,0,0,4900,0,0,1,0.625999987,0,0,0,0.796999991,1.013000011,18,2,2,2,1,1.505120516,3.949280262,15,0.738679469,3,204,13
"29",15005,"C00147686","howard","berman","howardberman","CA","House",28,"D","1/3/1983","1/3/2013","HowardBerman",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8493,"Berman, Howard",112,2011,"CA",28,1,1982,0,70,-0.338999987,53,0,0,0,0,0,0,0,18,2,2,2,1,0,0,0,0,0,0,0,4900,0,0,1,0.625999987,0,0,0,0.796999991,1.013000011,18,2,2,2,1,1.505120516,3.949280262,15,0.738679469,3,204,13
"30",15014,"C00145862","dan","burton","danburton","IN","House",5,"R","1/3/1983","1/3/2013","danburton",6,232,0,1,NA,NA,0,NA,NA,NA,8521,"Burton, Dan",112,2011,"IN",5,0,1982,0,62,0.765999973,9,0,1,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,3844,0,0,1,0.138999999,1,0,0,0.307999969,0.09199997,43,0,0,0,0,0.577103555,0.265746623,15,1.61041224,1,245,150
"31",15019,"C00376665","jim","cooper","jimcooper","TN","House",5,"D","1/3/1983","1/3/2019","CoopForCongress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8556,"Cooper, Jim",112,2011,"TN",5,1,2002,0,56,-0.234999999,9,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,0,0,0.693000019,0.908999979,8,2,1,0,0,0.443394572,0.069933325,5,0.435746729,2,204,81
"32",15019,"C00376665","jim","cooper","jimcooper","TN","House",5,"D","1/3/1983","1/3/2019","repjimcooper",0,1960,0,1,NA,NA,1,NA,NA,NA,8556,"Cooper, Jim",112,2011,"TN",5,1,2002,0,56,-0.234999999,9,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,0,0,0.693000019,0.908999979,8,2,1,0,0,0.443394572,0.069933325,5,0.435746729,2,204,81
"33",15029,"C00154625","marcy","kaptur","marcykaptur","OH","House",9,"D","1/3/1983","1/3/2019","repmarcykaptur",5,2476,0,0,1861,0.752,1,NA,NA,NA,8686,"Kaptur, Marcy",112,2011,"OH",9,1,1982,1,59,-0.398000002,18,0,0,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,3481,1,0,0,0,0,0,0,0.856000006,1.072000027,17,1,0,0,0,0.325535029,0.65922147,15,0.738679469,1,204,108
"34",15029,"C00154625","marcy","kaptur","marcykaptur","OH","House",9,"D","1/3/1983","1/3/2019","Marcy_Kaptur",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8686,"Kaptur, Marcy",112,2011,"OH",9,1,1982,1,59,-0.398000002,18,0,0,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,3481,1,0,0,0,0,0,0,0.856000006,1.072000027,17,1,0,0,0,0.325535029,0.65922147,15,0.738679469,1,204,108
"35",15033,"C00156612","sander","levin","sanderlevin","MI","House",9,"D","1/3/1983","1/3/2019","repsandylevin",1,2412,0,1,NA,NA,1,NA,NA,NA,8711,"Levin, Sander",112,2011,"MI",12,1,1982,0,61,-0.337000012,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3721,1,0,1,0.652999997,0,0,0,0.795000017,1.011000037,10,0,0,0,0,0.13421014,7.376142502,15,0.738679469,1,204,165
"36",15033,"C00156612","sander","levin","sanderlevin","MI","House",9,"D","1/3/1983","1/3/2019","Levin4Congress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8711,"Levin, Sander",112,2011,"MI",12,1,1982,0,61,-0.337000012,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3721,1,0,1,0.652999997,0,0,0,0.795000017,1.011000037,10,0,0,0,0,0.13421014,7.376142502,15,0.738679469,1,204,165
"37",15072,"C00197285","edolphus","towns","edolphustowns","NY","House",10,"D","1/3/1983","1/3/2013","EdolphusTowns",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8882,"Towns, Edolphus",112,2011,"NY",10,1,1982,0,91,-0.470999986,29,0,0,0,0,0,0,0,16,2,2,1,1,0,0,0,0,0,1,0,8281,0,0,0,0,0,0,0,0.92899996,1.144999981,16,2,2,1,1,1.301645875,2.456812859,15,0.738679469,3,204,19
"38",15072,"C00197285","edolphus","towns","edolphustowns","NY","House",10,"D","1/3/1983","1/3/2013","edtowns",4,472,0,1,NA,NA,1,NA,NA,NA,8882,"Towns, Edolphus",112,2011,"NY",10,1,1982,0,91,-0.470999986,29,0,0,0,0,0,0,0,16,2,2,1,1,0,0,0,0,0,1,0,8281,0,0,0,0,0,0,0,0.92899996,1.144999981,16,2,2,1,1,1.301645875,2.456812859,15,0.738679469,3,204,19
"39",15085,"C00195065","joe","barton","joebarton","TX","House",6,"R","1/3/1985","1/3/2019","repjoebarton",2,1942,1,0,1567,0.807,0,NA,NA,NA,8486,"Barton, Joe",112,2011,"TX",6,0,1984,0,66,0.702000022,32,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,4356,0,0,0,0,1,0,0,0.244000018,0.028000021,5,0,1,0,0,0.186902285,0.357102752,14,1.222902298,1,245,207
"40",15092,"C00198796","howard","coble","howardcoble","NC","House",6,"R","1/3/1985","1/3/2015","coble4congress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8549,"Coble, Howard",112,2011,"NC",6,0,1984,0,75,0.786000013,13,0,1,0,0,0,0,0,27,2,2,2,0,0,0,0,0,0,0,0,5625,0,0,1,0.202999994,1,0,0,0.328000009,0.112000011,27,2,2,2,0,1.171456218,0.041959994,14,1.580119014,2,245,95
"41",15092,"C00198796","howard","coble","howardcoble","NC","House",6,"R","1/3/1985","1/3/2015","howardcoble",4,687,0,0,634,0.923,1,NA,NA,NA,8549,"Coble, Howard",112,2011,"NC",6,0,1984,0,75,0.786000013,13,0,1,0,0,0,0,0,27,2,2,2,0,0,0,0,0,0,0,0,5625,0,0,1,0.202999994,1,0,0,0.328000009,0.112000011,27,2,2,2,0,1.171456218,0.041959994,14,1.580119014,2,245,95
"42",15124,"C00166504","peter","visclosky","petervisclosky","IN","House",1,"D","1/3/1985","1/3/2019","repvisclosky",6,1684,1,1,NA,NA,1,NA,NA,NA,8889,"Visclosky, Peter",112,2011,"IN",1,1,1984,0,59,-0.437000006,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3481,1,0,0,0,0,0,0,0.894999981,1.111000061,3,0,0,0,0,0.040263038,0.316637576,14,0.708386183,1,204,192
"43",15124,"C00166504","peter","visclosky","petervisclosky","IN","House",1,"D","1/3/1985","1/3/2019","TeamVisclosky",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8889,"Visclosky, Peter",112,2011,"IN",1,1,1984,0,59,-0.437000006,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3481,1,0,0,0,0,0,0,0.894999981,1.111000061,3,0,0,0,0,0.040263038,0.316637576,14,0.708386183,1,204,192
"44",15410,"C00215905","peter","defazio","peterdefazio","OR","House",4,"D","1/6/1987","1/3/2019","reppeterdefazio",7,960,1,0,693,0.722,0,NA,NA,NA,8572,"DeFazio, Peter",112,2011,"OR",4,1,1986,0,54,-0.542999983,5,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,0,0,1.000999928,1.217000008,26,3,0,0,0,0.673290193,1.821510792,13,0.678092897,2,204,51
"45",15413,"C00194803","elton","gallegly","eltongallegly","CA","House",24,"R","1/6/1987","1/3/2013","eltongallegly24",2,397,1,0,NA,NA,0,NA,NA,NA,8615,"Gallegly, Elton",112,2011,"CA",24,0,1986,0,60,0.589999974,53,0,0,0,0,0,0,0,15,3,3,2,1,1,0,1,1,1,0,0,3600,0,0,0,0,1,0,0,0.131999969,0.084000029,16,3,4,3,2,1.845630169,2.535898209,13,1.192608953,3,245,54
"46",15431,"C00202416","john","lewis","johnlewis","GA","House",5,"D","1/6/1987","1/3/2019","repjohnlewis",0,1721,0,1,NA,NA,0,NA,NA,NA,8713,"Lewis, John",112,2011,"GA",5,1,1986,0,74,-0.582000017,13,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,5476,1,0,0,0,0,0,1,1.039999962,1.256000042,25,0,0,0,0,0.335525334,1.898240328,13,0.678092897,1,204,104
"47",15438,"C00195628","david","price","davidprice","NC","House",4,"D","1/6/1987","1/3/2019","DPrice4Congress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8797,"Price, David",112,2011,"NC",4,1,1996,0,57,-0.412,13,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3249,1,0,0,0,0,0,0,0.870000005,1.085999966,15,0,0,0,0,0.201315194,3.40917325,8,0.526626527,1,204,142
