"","icpsr","FECcommittee","first","last","fullname","state","chamber","district","party","start","end","twitter","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","ï..Numeric.counter.for.order.in.THOMAS.data.from.93rd...110th.Congresses","Legislator.name..as.given.in.THOMAS","Congress.number","Year.at.start.of.Congress","Two.letter.state.code","Congressional.district.number","X1...Democrat","Year.first.elected.to.House","X1...female","Percent.vote.received.to.enter.this.Congress","First.dimension.DW.NOMINATE.score","Size.of.House.delegation.from.member.s.state","X1..Speaker","X1...Chair.of.subcommittee..according.to.Almanac.of.American.Politics.and.Adler.W","Number.of.substantively.significant.bills.sponsored","Number.of.substantively.significant.bills.with.action.in.committee","Number.of.substantively.significant.bills.with.action.beyond.committee","Number.of.substantively.significant.bills.passed.House","Number.of.substantively.significant.bills.became.law","Number.of.substantive.bills.sponsored","Number.of.substantive.bills.with.action.in.committee","Number.of.substantive.bills.with.action.beyond.committee","Number.of.substantive.bills.passed.House","Number.of.substantive.bills.became.law","Number.of.commemorative.bills.sponsored","Number.of.commemorative.bills.with.action.in.committee","Number.of.commemorative.bills.with.action.beyond.committee","Number.of.commemorative.bills.passed.House","Number.of.commemorative.bills.became.law","X1...African.American","X1...Latino.a","votepct.squared","X1...Member.of.Appropriation..Rules..or.Ways.and.Means","X1...Chair..of.standing.committee.or.intellgence.homeland.sec.according.to.Stewar","X1...served.in.state.legislature","state_leg...state.legislature.professionalism","X1...majority.party.member","X1...Majority.party.leadership","X1...Minority.party.leadership","Absolute.distance.from.floor.median..DW.NOMINATE.","Absolute.distance.from.majority.party.median..DW.NOMINATE.","Total.bills.sponsored","Total.bills.with.action.in.committee","Total.bills.with.action.beyond.committee","Total.bills.passed.House","Total.bills.became.law","Legislative.Effectiveness.Score..1.5.10.","Lagged.LES","Seniority..number.of.terms.served.counting.current","benchmark","X1...Below..2...Meets..3...Exceeds","TotalInParty","RankInParty"
"769",29932,"C00333427","greg","walden","gregwalden","OR","House",2,"R","1/6/1999","1/3/2019","repgregwalden",7,1960,0,1,NA,NA,0,NA,NA,NA,10229,"Walden, Greg",115,2017,"OR",2,0,1998,0,72,0.338999987,5,0,0,1,0,1,1,1,16,4,8,8,3,1,0,0,0,0,0,0,5184,0,1,1,0.152999997,1,0,0,0.066499986,0.159000009,18,4,9,9,4,4.16590786,1.566286683,10,2.492239237,3,245,7
"770",29939,"C00330894","paul","ryan","paulryan","WI","House",1,"R","1/6/1999","1/3/2019","speakerryan",2,11220,1,1,NA,NA,1,NA,NA,NA,10164,"Ryan, Paul",115,2017,"WI",1,0,1998,0,65,0.555999994,8,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,4225,0,0,0,0,1,1,0,0.283499986,0.057999995,1,1,1,1,1,0.65403688,1.693692446,10,1.227471113,2,245,182
"771",29939,"C00330894","paul","ryan","paulryan","WI","House",1,"R","1/6/1999","1/3/2019","Pryan",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10164,"Ryan, Paul",115,2017,"WI",1,0,1998,0,65,0.555999994,8,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,4225,0,0,0,0,1,1,0,0.283499986,0.057999995,1,1,1,1,1,0.65403688,1.693692446,10,1.227471113,2,245,182
"772",31101,"C00459099","suzan","delbene","suzandelbene","WA","House",1,"D","11/13/2012","1/3/2019","SuzanDelBene",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9910,"Delbene, Suzan",115,2017,"WA",1,1,2012,1,55,-0.279000014,10,0,0,0,0,0,0,0,22,1,1,0,0,0,0,0,0,0,0,0,3025,1,0,0,0,0,0,0,0.551500022,0.77700001,22,1,1,0,0,0.415119916,0.21971482,3,0.537361205,2,203,110
"773",31101,"C00459099","suzan","delbene","suzandelbene","WA","House",1,"D","11/13/2012","1/3/2019","repdelbene",0,3297,0,0,2680,0.813,1,NA,NA,NA,9910,"Delbene, Suzan",115,2017,"WA",1,1,2012,1,55,-0.279000014,10,0,0,0,0,0,0,0,22,1,1,0,0,0,0,0,0,0,0,0,3025,1,0,0,0,0,0,0,0.551500022,0.77700001,22,1,1,0,0,0.415119916,0.21971482,3,0.537361205,2,203,110
"774",31102,"C00509729","thomas","massie","thomasmassie","KY","House",4,"R","11/13/2012","1/3/2019","ThomasMassieKY",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10070,"Massie, Thomas",115,2017,"KY",4,0,2012,0,71,0.662999988,6,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,1,0,0,0.390499979,0.164999992,8,1,1,0,0,0.242693797,0.290791154,4,1.142199278,1,245,229
"775",31102,"C00509729","thomas","massie","thomasmassie","KY","House",4,"R","11/13/2012","1/3/2019","Thomas_Massie",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10070,"Massie, Thomas",115,2017,"KY",4,0,2012,0,71,0.662999988,6,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,1,0,0,0.390499979,0.164999992,8,1,1,0,0,0.242693797,0.290791154,4,1.142199278,1,245,229
"776",31102,"C00509729","thomas","massie","thomasmassie","KY","House",4,"R","11/13/2012","1/3/2019","repthomasmassie",4,2111,0,1,NA,NA,1,NA,NA,NA,10070,"Massie, Thomas",115,2017,"KY",4,0,2012,0,71,0.662999988,6,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,1,0,0,0.390499979,0.164999992,8,1,1,0,0,0.242693797,0.290791154,4,1.142199278,1,245,229
"777",31103,"C00519355","donald","payne","donaldpayne","NJ","House",10,"D","11/15/2012","1/3/2019","DonaldPayneJr",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10117,"Payne, Donald",115,2017,"NJ",10,1,2012,0,86,-0.51700002,12,0,0,0,0,0,0,0,11,2,3,3,0,0,0,0,0,0,1,0,7396,0,0,0,0,0,0,0,0.789499998,1.014999986,11,2,3,3,0,0.774376869,2.049072742,3,0.707904696,2,203,58
"778",31103,"C00519355","donald","payne","donaldpayne","NJ","House",10,"D","11/15/2012","1/3/2019","repdonaldpayne",7,3737,0,1,NA,NA,1,NA,NA,NA,10117,"Payne, Donald",115,2017,"NJ",10,1,2012,0,86,-0.51700002,12,0,0,0,0,0,0,0,11,2,3,3,0,0,0,0,0,0,1,0,7396,0,0,0,0,0,0,0,0.789499998,1.014999986,11,2,3,3,0,0.774376869,2.049072742,3,0.707904696,2,203,58
"779",39301,"C00255562","james","clyburn","jamesclyburn","SC","House",6,"D","1/5/1993","1/3/2019","clyburn",1,1820,0,0,1433,0.787,0,NA,NA,NA,9876,"Clyburn, James",115,2017,"SC",6,1,1992,0,70,-0.463999987,7,0,0,0,0,0,0,0,8,2,2,2,0,1,0,1,1,1,1,0,4900,0,0,0,0,0,0,1,0.736499965,0.962000012,9,2,3,3,1,0.690988958,1.319408894,13,0.679480791,2,203,72
"780",39304,"C00254185","gene","green","genegreen","TX","House",29,"D","1/5/1993","1/3/2019","GeneGreen29",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9969,"Green, Gene",115,2017,"TX",29,1,1992,0,73,-0.324000001,36,0,0,0,0,0,0,0,11,1,1,1,1,1,0,0,0,0,0,0,5329,0,0,1,0.209999993,0,0,0,0.596499979,0.822000027,12,1,1,1,1,0.779661596,0.156546801,13,0.679480791,2,203,57
"781",39304,"C00254185","gene","green","genegreen","TX","House",29,"D","1/5/1993","1/3/2019","repgenegreen",6,1236,0,0,944,0.764,1,NA,NA,NA,9969,"Green, Gene",115,2017,"TX",29,1,1992,0,73,-0.324000001,36,0,0,0,0,0,0,0,11,1,1,1,1,1,0,0,0,0,0,0,5329,0,0,1,0.209999993,0,0,0,0.596499979,0.822000027,12,1,1,1,1,0.779661596,0.156546801,13,0.679480791,2,203,57
"782",39305,"C00254573","eddie","johnson","eddiejohnson","TX","House",30,"D","1/5/1993","1/3/2019","repebj",5,7680,0,0,6186,0.805,0,NA,NA,NA,10005,"Johnson, Eddie",115,2017,"TX",30,1,1992,1,78,-0.486000001,36,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,1,0,6084,0,0,1,0.209999993,0,0,0,0.75849998,0.984000027,9,0,0,0,0,0.091139518,0.153800368,13,0.679480791,1,203,182
"783",39307,"C00256925","robert","scott","robertscott","VA","House",3,"D","1/5/1993","1/3/2019","bobbyscott",1,3737,0,1,NA,NA,0,NA,NA,NA,10179,"Scott, Robert",115,2017,"VA",3,1,1992,0,67,-0.451000005,11,0,0,1,0,0,0,0,18,1,1,1,1,0,0,0,0,0,1,0,4489,0,0,1,0.170000002,0,0,0,0.723500013,0.949000001,19,1,1,1,1,0.888043702,0.46320647,13,0.679480791,2,203,45
"784",39308,"C00257956","bob","goodlatte","bobgoodlatte","VA","House",6,"R","1/5/1993","1/3/2019","BobGoodlatte6",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9960,"Goodlatte, Bob",115,2017,"VA",6,0,1992,0,67,0.495999992,11,0,0,4,1,4,2,0,23,11,13,7,1,0,0,0,0,0,0,0,4489,0,1,0,0,1,0,0,0.223499998,0.002000008,27,12,17,9,1,4.237635612,4.179333687,13,2.534875154,3,245,6
