"","icpsr","FECcommittee","first","last","fullname","state","chamber","district","party","start","end","twitter","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","�..Numeric.counter.for.order.in.THOMAS.data.from.93rd...110th.Congresses","Legislator.name..as.given.in.THOMAS","Congress.number","Year.at.start.of.Congress","Two.letter.state.code","Congressional.district.number","X1...Democrat","Year.first.elected.to.House","X1...female","Percent.vote.received.to.enter.this.Congress","First.dimension.DW.NOMINATE.score","Size.of.House.delegation.from.member.s.state","X1..Speaker","X1...Chair.of.subcommittee..according.to.Almanac.of.American.Politics.and.Adler.W","Number.of.substantively.significant.bills.sponsored","Number.of.substantively.significant.bills.with.action.in.committee","Number.of.substantively.significant.bills.with.action.beyond.committee","Number.of.substantively.significant.bills.passed.House","Number.of.substantively.significant.bills.became.law","Number.of.substantive.bills.sponsored","Number.of.substantive.bills.with.action.in.committee","Number.of.substantive.bills.with.action.beyond.committee","Number.of.substantive.bills.passed.House","Number.of.substantive.bills.became.law","Number.of.commemorative.bills.sponsored","Number.of.commemorative.bills.with.action.in.committee","Number.of.commemorative.bills.with.action.beyond.committee","Number.of.commemorative.bills.passed.House","Number.of.commemorative.bills.became.law","X1...African.American","X1...Latino.a","votepct.squared","X1...Member.of.Appropriation..Rules..or.Ways.and.Means","X1...Chair..of.standing.committee.or.intellgence.homeland.sec.according.to.Stewar","X1...served.in.state.legislature","state_leg...state.legislature.professionalism","X1...majority.party.member","X1...Majority.party.leadership","X1...Minority.party.leadership","Absolute.distance.from.floor.median..DW.NOMINATE.","Absolute.distance.from.majority.party.median..DW.NOMINATE.","Total.bills.sponsored","Total.bills.with.action.in.committee","Total.bills.with.action.beyond.committee","Total.bills.passed.House","Total.bills.became.law","Legislative.Effectiveness.Score..1.5.10.","Lagged.LES","Seniority..number.of.terms.served.counting.current","benchmark","X1...Below..2...Meets..3...Exceeds","TotalInParty","RankInParty"
"1",2605,"C00002600","john","dingell","johndingell","MI","House",12,"D","1/5/1955","1/3/2015","johndingell",3,4762,0,0,1100,0.231,0,NA,NA,NA,9025,"Dingell, John",113,2013,"MI",12,1,1955,0,69,-0.386999995,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4761,0,0,0,0,0,0,0,0.853999972,1.118999958,2,0,0,0,0,0.030463038,0.06710507,30,1.171076775,1,210,203
"2",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","repjohnconyers",5,2538,0,0,1415,0.558,1,NA,NA,NA,8997,"Conyers, John",113,2013,"MI",13,1,1964,0,82,-0.574999988,14,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,6724,0,0,0,0,0,0,0,1.041999936,1.307000041,33,0,0,0,0,0.502640128,2.530175209,25,1.036581159,1,210,78
"3",10713,"C00409797","john","conyers","johnconyers","MI","House",13,"D","1/4/1965","1/3/2019","johnconyersjr",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8997,"Conyers, John",113,2013,"MI",13,1,1964,0,82,-0.574999988,14,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,6724,0,0,0,0,0,0,0,1.041999936,1.307000041,33,0,0,0,0,0.502640128,2.530175209,25,1.036581159,1,210,78
"4",13035,"C00302422","charles","rangel","charlesrangel","NY","House",13,"D","1/21/1971","1/3/2017","cbrangel",6,7147,0,1,NA,NA,1,1,15,NA,9247,"Rangel, Charles",113,2013,"NY",13,1,1970,0,91,-0.40200001,27,0,0,0,0,0,0,0,20,0,0,0,0,4,1,1,1,1,1,0,8281,1,0,1,0.514999986,0,0,0,0.869000018,1.134000063,24,1,1,1,1,0.480483592,0.290276676,22,0.955883682,2,210,83
"5",13035,"C00302422","charles","rangel","charlesrangel","NY","House",13,"D","1/21/1971","1/3/2017","charlesbrangel",NA,NA,NA,NA,NA,NA,1,1,15,NA,9247,"Rangel, Charles",113,2013,"NY",13,1,1970,0,91,-0.40200001,27,0,0,0,0,0,0,0,20,0,0,0,0,4,1,1,1,1,1,0,8281,1,0,1,0.514999986,0,0,0,0.869000018,1.134000063,24,1,1,1,1,0.480483592,0.290276676,22,0.955883682,2,210,83
"6",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","repdonyoung",3,1359,1,1,NA,NA,1,NA,NA,NA,9362,"Young, Don",113,2013,"AK",1,0,1973,0,65,0.510999978,1,0,1,0,0,0,0,0,45,20,13,6,3,0,0,0,0,0,0,0,4225,0,0,1,0.319999993,1,0,0,0.043999977,0.221000016,45,20,13,6,3,6.301995277,4.129578114,21,1.905022383,3,240,5
"7",14066,"C00012229","don","young","donyoung","AK","House",0,"R","1/3/1973","1/3/2019","DonYoungAK",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9362,"Young, Don",113,2013,"AK",1,0,1973,0,65,0.510999978,1,0,1,0,0,0,0,0,45,20,13,6,3,0,0,0,0,0,0,0,4225,0,0,1,0.319999993,1,0,0,0.043999977,0.221000016,45,20,13,6,3,6.301995277,4.129578114,21,1.905022383,3,240,5
"8",14256,"C00026757","george","miller","georgemiller","CA","House",11,"D","1/14/1975","1/3/2015","askgeorge",4,2519,0,1,NA,NA,0,1,7,NA,9197,"Miller, George",113,2013,"CA",11,1,1974,0,69,-0.615999997,53,0,0,0,0,0,0,0,26,1,2,2,0,1,0,0,0,0,0,0,4761,0,0,0,0,0,0,1,1.082999945,1.34800005,27,1,2,2,0,0.988525987,0.282587796,20,0.902085423,2,210,35
"9",14263,"C00499053","richard","nolan","richardnolan","MN","House",8,"D","1/14/1975","1/3/2019","usrepricknolan",5,2203,0,0,1678,0.762,1,NA,NA,NA,9211,"Nolan, Richard",113,2013,"MN",8,1,2012,0,55,-0.407000005,8,0,0,0,0,0,0,0,13,4,4,3,3,1,0,0,0,0,0,0,3025,0,0,1,0.210999995,0,0,0,0.874000013,1.139000058,14,4,4,3,3,2.856544733,NA,1,0.39100185,3,210,3
"10",14263,"C00499053","richard","nolan","richardnolan","MN","House",8,"D","1/14/1975","1/3/2019","RickNolanMN",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9211,"Nolan, Richard",113,2013,"MN",8,1,2012,0,55,-0.407000005,8,0,0,0,0,0,0,0,13,4,4,3,3,1,0,0,0,0,0,0,3025,0,0,1,0.210999995,0,0,0,0.874000013,1.139000058,14,4,4,3,3,2.856544733,NA,1,0.39100185,3,210,3
