Name ,State,Party,twitter
"Schrader, Kurt",OR,D,RepSchrader
"Schrier, Kim",WA,D,DrKimSchrier
"Schrier, Kim",WA,D,RepKimSchrier
"Schweikert, David",AZ,R,DavidSchweikert
"Schweikert, David",AZ,R,RepDavid
"Scott, Austin",GA,R,AustinScott4GA
"Scott, Austin",GA,R,AustinScottGA08
"Scott, David",GA,D,Electdavidscott
"Scott, David",GA,D,repdavidscott
"Scott, Robert C.",VA,D,BobbyScott4VA3
"Scott, Robert C.",VA,D,BobbyScott
"Sessions, Pete",TX,R,SessionsTX17
"Sessions, Pete",TX,R,PeteSessions
"Sewell, Terri A.",AL,D,Sewell4Congress
"Sewell, Terri A.",AL,D,RepTerriSewell
"Sherman, Brad",CA,D,BradSherman
"Sherrill, Mikie",NJ,D,MikieSherrill
"Sherrill, Mikie",NJ,D,RepSherrill
"Simpson, Mike",ID,R,MikeSimpson4ID
"Simpson, Mike",ID,R,CongMikeSimpson
"Sires, Albio",NJ,D,AlbioSiresNJ
"Sires, Albio",NJ,D,RepSires
"Slotkin, Elissa",MI,D,ElissaSlotkin
"Slotkin, Elissa",MI,D,RepSlotkin
"Smith, Adam",WA,D,electadamsmith
"Smith, Adam",WA,D,RepAdamSmith
"Smith, Adrian",NE,R,RepAdrianSmith
"Smith, Chris",NJ,R,RepChrisSmith
"Smith, Jason",MO,R,JasonSmithMO
"Smith, Jason",MO,R,RepJasonSmith
"Smucker, Lloyd",PA,R,LloydSmuckerPA
"Smucker, Lloyd",PA,R,RepSmucker
"Soto, Darren",FL,D,DarrenSoto
"Soto, Darren",FL,D,RepDarrenSoto
"Spanberger, Abigail",VA,D,SpanbergerVA07
"Spanberger, Abigail",VA,D,RepSpanberger
"Spartz, Victoria",IN,R,Victoria_Spartz
"Spartz, Victoria",IN,R,RepSpartz
"Speier, Jackie",CA,D,JackieSpeier
"Speier, Jackie",CA,D,RepSpeier
"Stanton, Greg",AZ,D,gregstantonaz
"Stanton, Greg",AZ,D,RepGregStanton
"Stauber, Pete",MN,R,PeteStauber
"Stauber, Pete",MN,R,RepPeteStauber
"Steel, Michelle",CA,R,MichelleSteelCA
"Steel, Michelle",CA,R,RepSteel
"Stefanik, Elise",NY,R,EliseStefanik
"Stefanik, Elise",NY,R,RepStefanik
"Steil, Bryan",WI,R,BryanSteil
"Steil, Bryan",WI,R,RepBryanSteil
"Steube, W. Gregory",FL,R,gregsteube
"Steube, W. Gregory",FL,R,RepGregSteube
"Stevens, Haley",MI,D,HaleyLive
"Stevens, Haley",MI,D,RepHaleyStevens
"Stewart, Chris",UT,R,StewartforUtah
"Stewart, Chris",UT,R,RepChrisStewart
"Stivers, Steve",OH,R,stevestivers
"Stivers, Steve",OH,R,RepSteveStivers
"Strickland, Marilyn",WA,D,StricklandforWA
"Strickland, Marilyn",WA,D,RepStricklandWA
"Suozzi, Thomas",NY,D,Tom_Suozzi
"Suozzi, Thomas",NY,D,RepTomSuozzi
"Swalwell, Eric",CA,D,ericswalwell
"Swalwell, Eric",CA,D,RepSwalwell
"Takano, Mark",CA,D,MarkTakano
"Takano, Mark",CA,D,RepMarkTakano
"Taylor, Van",TX,R,VanTaylorTX
"Taylor, Van",TX,R,RepVanTaylor
"Thompson, Bernie G.",MS,D,BGThompsonMS
"Thompson, Bernie G.",MS,D,BennieGThompson
"Thompson, Glenn",PA,R,CongressmanGT
"Thompson, Mike",CA,D,Mike_CA05
"Thompson, Mike",CA,D,RepThompson
"Tiffany, Thomas P.",WI,R,TomTiffanyWI
"Tiffany, Thomas P.",WI,R,RepTiffany
"Timmons, William",SC,R,votetimmons
"Timmons, William",SC,R,RepTimmons
"Titus, Dina",NV,D,dinatitus
"Titus, Dina",NV,D,repdinatitus
"Tlaib, Rashida",MI,D,RashidaTlaib
"Tlaib, Rashida",MI,D,RepRashida
"Tonko, Paul D.",NY,D,PaulTonko
"Tonko, Paul D.",NY,D,RepPaulTonko
"Torres, Norma",CA,D,Norma4Congress
"Torres, Norma",CA,D,NormaJTorres
"Torres, Ritchie",NY,D,RitchieTorres
"Torres, Ritchie",NY,D,RepRitchie
"Trahan, Lori",MA,D,latrahan
"Trahan, Lori",MA,D,RepLoriTrahan
"Trone, David",MD,D,davidjtrone
"Trone, David",MD,D,RepDavidTrone
"Turner, Mike",OH,R,MikeTurnerOH
"Turner, Mike",OH,R,RepMikeTurner
"Underwood, Lauren",IL,D,LaurenUnderwood
"Underwood, Lauren",IL,D,RepUnderwood
"Upton, Fred",MI,R,UptonForAllOfUs
"Upton, Fred",MI,R,RepFredUpton
"Valadao, David G.",CA,R,dgvaladao
"Valadao, David G.",CA,R,RepDavidValadao
"Van Drew, Jefferson",NJ,R,VanDrewForNJ
"Van Drew, Jefferson",NJ,R,CongressmanJVD
"Van Duyne, Beth",TX,R,Bethvanduyne
"Van Duyne, Beth",TX,R,RepBethVanDuyne
"Vargas, Juan",CA,D,juanf_vargas
"Vargas, Juan",CA,D,RepJuanVargas
"Veasey, Marc",TX,R,MarcVeasey
"Veasey, Marc",TX,R,RepVeasey
"Vela, Filemon",TX,D,FilemonVela
"Vela, Filemon",TX,D,RepFilemonVela
"Velázquez, Nydia M.",NY,D,ReElectNydia
"Velázquez, Nydia M.",NY,D,NydiaVelazquez
"Wagner, Ann",MO,R,AnnLWagner
"Wagner, Ann",MO,R,RepAnnWagner
"Walberg, Tim",MI,R,TimWalberg
"Walberg, Tim",MI,R,RepWalberg
"Walorski, Jackie",IN,R,jackiewalorski
"Walorski, Jackie",IN,R,RepWalorski
"Waltz, Michael",FL,R,RepMichaelWaltz
"Waltz, Michael",FL,R,michaelgwaltz
"Wasserman Schultz, Debbie",FL,R,dwstweets
"Wasserman Schultz, Debbie",FL,R,RepDWStweets
"Waters, Maxine",CA,D,maxinewaters
"Waters, Maxine",CA,D,RepMaxineWaters
"Watson Coleman, Bonnie",NJ,D,Bonnie4Congress
"Watson Coleman, Bonnie",NJ,D,RepBonnie
"Weber, Randy",TX,R,WeberforTexas
"Weber, Randy",TX,R,TXRandy14
"Webster, Daniel",FL,R,WebsterCongress
"Webster, Daniel",FL,R,RepWebster
"Welch, Peter",VT,D,WelchForVT
"Welch, Peter",VT,D,PeterWelch
"Wenstrup, Brad",OH,R,bradwenstrup
"Wenstrup, Brad",OH,R,RepBradWenstrup
"Westerman, Bruce",AR,R,bruce_westerman
"Westerman, Bruce",AR,R,WestermanAR
"Westerman, Bruce",AR,R,RepWesterman
"Wexton, Jennifer",VA,D,JenniferWexton
"Wexton, Jennifer",VA,D,RepWexton
"Wild, Susan",PA,D,wildforcongress
"Wild, Susan",PA,D,RepSusanWild
"Williams, Nikema",GA,D,NikemaWilliams
"Williams, Nikema",GA,D,RepNikema
"Williams, Roger",TX,R,RogerWilliamsTX
"Williams, Roger",TX,R,RepRWilliams
"Wilson, Frederica",FL,D,FSWInTheHouse
"Wilson, Frederica",FL,D,RepWilson
"Wilson, Joe",SC,R,CongJoeWilson
"Wilson, Joe",SC,R,RepJoeWilson
"Wittman, Robert J.",VA,R,ReElectWittman
"Wittman, Robert J.",VA,R,RobWittman
"Womack, Steve",AR,R,womack4congress
"Womack, Steve",AR,R,rep_stevewomack
"Wright, Ron",TX,R,ron4congress
"Wright, Ron",TX,R,RepRonWright
"Yarmuth, John A.",KY,D,RepJohnYarmuth
"Young, Don",AK,R,DonYoungAK
"Young, Don",AK,R,repdonyoung
"Zeldin, Lee",NY,R,leezeldin
"Zeldin, Lee",NY,R,RepLeeZeldin
"Baldwin, Tammy",WI,D,tammybaldwin
"Baldwin, Tammy",WI,D,SenatorBaldwin
"Barrasso, John",WY,R,barrassoforwyo
"Barrasso, John",WY,R,SenJohnBarrasso
"Bennet, Michael F.",CO,D,BennetForCO
"Bennet, Michael F.",CO,D,SenatorBennet
"Blackburn, Marsha",TN,R,VoteMarsha
"Blackburn, Marsha",TN,R,MarshaBlackburn
"Blumenthal, Richard",CT,D,DickBlumenthal
"Blumenthal, Richard",CT,D,SenBlumenthal
"Blunt, Roy",MO,R,RoyBlunt
"Booker, Cory A.",NJ,D,SenBooker
"Booker, Cory A.",NJ,D,CoryBooker
"Boozman, John",AR,R,Boozman4AR
"Boozman, John",AR,R,JohnBoozman
"Braun, Mike",IN,R,braun4indiana
"Braun, Mike",IN,R,SenatorBraun
"Brown, Sherrod",OH,D,SherrodBrown
"Brown, Sherrod",OH,D,SenSherrodBrown
"Burr, Richard",NC,R,BurrForSenate
"Burr, Richard",NC,R,SenatorBurr
"Cantwell, Maria",WA,D,MariaCantwell
"Cantwell, Maria",WA,D,SenatorCantwell
"Capito, Shelley Moore",WV,R,CapitoforWV
"Capito, Shelley Moore",WV,R,SenCapito
"Cardin, Benjamin L.",MD,D,BenCardinforMD
"Cardin, Benjamin L.",MD,D,SenatorCardin
"Carper, Thomas R.",DE,D,TomCarperforDE
"Carper, Thomas R.",DE,D,SenatorCarper
"Casey, Robert P. Jr.",PA,D,Bob_Casey
"Casey, Robert P. Jr.",PA,D,SenBobCasey
"Cassidy, Bill",LA,R,SenBillCassidy
"Collins, Susan M.",ME,R,SenSusanCollins
"Collins, Susan M.",ME,R,SenatorCollins
"Coons, Christopher A.",DE,D,sencoonsoffice
"Coons, Christopher A.",DE,D,ChrisCoons
"Cornyn, John",TX,R,TeamCornyn
"Cornyn, John",TX,R,JohnCornyn
"Cortez Masto, Catherine",NV,D,CatherineForNV
"Cortez Masto, Catherine",NV,D,SenCortezMasto
"Cotton, Tom",AR,R,TomCottonAR
"Cotton, Tom",AR,R,SenTomCotton
"Cramer, Kevin",ND,R,kevincramer
"Cramer, Kevin",ND,R,SenKevinCramer
"Crapo, Mike",ID,R,crapo4senate
"Crapo, Mike",ID,R,MikeCrapo
"Cruz, Ted",TX,R,tedcruz
"Cruz, Ted",TX,R,SenTedCruz
"Daines, Steve",MT,R,DainesforMT
"Daines, Steve",MT,R,SteveDaines
"Duckworth, Tammy",IL,D,tammyduckworth
"Duckworth, Tammy",IL,D,TammyforIL
"Duckworth, Tammy",IL,D,SenDuckworth
"Durbin, Richard J.",IL,D,DickDurbin
"Durbin, Richard J.",IL,D,SenatorDurbin
"Ernst, Joni",IA,R,joniernst
"Ernst, Joni",IA,R,SenJoniErnst
"Feinstein, Dianne",CA,D,DianneFeinstein
"Feinstein, Dianne",CA,D,SenFeinstein
"Fischer, Deb",NE,R,DebFischerNE
"Fischer, Deb",NE,R,SenatorFischer
"Gillibrand, Kirsten E.",NY,D,GillibrandNY
"Gillibrand, Kirsten E.",NY,D,SenGillibrand
"Graham, Lindsey",SC,R,GrahamBlog
"Graham, Lindsey",SC,R,LindseyGrahamSC
"Grassley, Chuck",IA,R,GrassleyPress
"Grassley, Chuck",IA,R,ChuckGrassley
"Hagerty, Bill",TN,R,BillHagertyTN
"Hagerty, Bill",TN,R,SenatorHagerty
"Hassan, Margaret Wood",NH,D,Maggie_Hassan
"Hassan, Margaret Wood",NH,D,SenatorHassan
"Hawley, Josh",MO,R,SenHawleyPress
"Hawley, Josh",MO,R,HawleyMO
"Heinrich, Martin",NM,D,TeamHeinrich
"Heinrich, Martin",NM,D,MartinHeinrich
"Hickenlooper, John W.",CO,D,Hickenlooper
"Hickenlooper, John W.",CO,D,SenatorHick
"Hirono, Mazie K.",HI,D,mazieforhawaii
"Hirono, Mazie K.",HI,D,maziehirono
"Hoeven, John",ND,R,hoeven4senate
"Hoeven, John",ND,R,SenJohnHoeven
"Hyde-Smith, Cindy",MS,R,cindyhydesmith
"Hyde-Smith, Cindy",MS,R,SenHydeSmith
"Inhofe, James M.",OK,R,inhofepress
"Inhofe, James M.",OK,R,JimInhofe
"Johnson, Ron",WI,R,RonJohnsonWI
"Johnson, Ron",WI,R,SenRonJohnson
"Kaine, Tim",VA,D,timkaine
"Kelly, Mark",AZ,D,CaptMarkKelly
"Kelly, Mark",AZ,D,SenMarkKelly
"Kennedy, John",LA,R,JohnKennedyLA
"Kennedy, John",LA,R,SenJohnKennedy
"King, Angus S. Jr.",ME,I,SenAngusKing
"Klobuchar, Amy",MN,D,amyklobuchar
"Klobuchar, Amy",MN,D,SenAmyKlobuchar
"Lankford, James",OK,R,jameslankford
"Lankford, James",OK,R,SenatorLankford
"Leahy, Patrick J.",VT,D,PatrickLeahy
"Leahy, Patrick J.",VT,D,SenatorLeahy
"Lee, Mike",UT,R,MikeLeeforUtah
"Lee, Mike",UT,R,SenMikeLee
"Luján, Ben Ray",NM,D,benraylujan
"Luján, Ben Ray",NM,D,SenatorLujan
"Lummis, Cynthia M.",WY,R,CynthiaMLummis
"Lummis, Cynthia M.",WY,R,SenLummis
"Manchin, Joe, III",WV,D,JoeManchinWV
"Manchin, Joe, III",WV,D,Sen_JoeManchin
"Markey, Edward J.",MA,D,EdMarkey
"Markey, Edward J.",MA,D,SenMarkey
"Marshall, Roger",KS,R,rogermarshallmd
"Marshall, Roger",KS,R,SenatorMarshall
"McConnell, Mitch",KY,R,LeaderMcConnell
"McConnell, Mitch",KY,R,McConnellPress
"McConnell, Mitch",KY,R,senatemajldr
"Menendez, Bob",NJ,D,BobMenendezNJ
"Menendez, Bob",NJ,D,SenatorMenendez
"Merkley, Jeff",OR,D,JeffMerkley
"Merkley, Jeff",OR,D,SenJeffMerkley
"Moran, Jerry",KS,R,JerryMoran
"Murkowski, Lisa",AK,R,LisaForSenate
"Murkowski, Lisa",AK,R,lisamurkowski
"Murphy, Christopher",CT,D,SenMurphyOffice
"Murphy, Christopher",CT,D,ChrisMurphyCT
"Murrary, Patty",WA,D,MurrayCampaign
"Murrary, Patty",WA,D,PattyMurray
"Ossoff, Jon",GA,D,SenOssoff
"Ossoff, Jon",GA,D,ossoff
"Padilla, Alex",CA,D,AlexPadilla4CA
"Padilla, Alex",CA,D,SenAlexPadilla
"Paul, Rand",KY,R,DrRandPaul
"Paul, Rand",KY,R,RandPaul
"Peters, Gary C.",MI,D,Peters4Michigan
"Peters, Gary C.",MI,D,SenGaryPeters
"Portman, Rob",OH,R,robportman
"Portman, Rob",OH,R,senrobportman
"Reed, Jack",RI,D,jackreed2020
"Reed, Jack",RI,D,SenJackReed
"Risch, James E.",ID,R,JimRisch
"Risch, James E.",ID,R,SenatorRisch
"Romney, Mitt",UT,R,MittRomney
"Romney, Mitt",UT,R,SenatorRomney
"Rosen, Jacky",NV,D,RosenforNevada
"Rosen, Jacky",NV,D,SenJackyRosen
"Rounds, Mike",SD,R,RoundsforSenate
"Rounds, Mike",SD,R,SenatorRounds
"Rubio, Marco",FL,R,marcorubio
"Sanders, Bernard",VT,I,BernieSanders
"Sanders, Bernard",VT,I,SenSanders
"Sasse, Ben",NE,R,BenSasse
"Sasse, Ben",NE,R,SenSasse
"Schatz, Brian",HI,D,brianschatz
"Schatz, Brian",HI,D,SenBrianSchatz
"Schumer, Charles E.",NY,D,chuckschumer
"Schumer, Charles E.",NY,D,SenSchumer
"Scott, Rick",FL,R,ScottforFlorida
"Scott, Rick",FL,R,SenRickScott
"Scott, Tim",SC,R,votetimscott
"Scott, Tim",SC,R,SenatorTimScott
"Shaheen, Jeanne",NH,D,JeanneShaheen
"Shaheen, Jeanne",NH,D,SenatorShaheen
"Shelby, Richard C.",AL,R,ShelbyForSenate
"Shelby, Richard C.",AL,R,SenShelby
"Sinema, Kyrsten",AZ,D,kyrstensinema
"Sinema, Kyrsten",AZ,D,SenatorSinema
"Smith, Tina",MN,D,TinaSmithMN
"Smith, Tina",MN,D,SenTinaSmith
"Stabenow, Debbie",MI,D,stabenow
"Stabenow, Debbie",MI,D,SenStabenow
"Sullivan, Dan",AK,R,SenDanSullivan
"Tester, Jon",MT,D,jontester
"Tester, Jon",MT,D,SenatorTester
"Thune, John",SD,R,johnthune
"Thune, John",SD,R,SenJohnThune
"Tillis, Thom",NC,R,ThomTillis
"Tillis, Thom",NC,R,SenThomTillis
"Toomey, Patrick J.",PA,R,PatToomey
"Toomey, Patrick J.",PA,R,SenToomey
"Tuberville, Tommy",AL,R,Ttuberville
"Tuberville, Tommy",AL,R,SenTuberville
"Van Hollen, Chris",MD,D,VanHollenForMD
"Van Hollen, Chris",MD,D,ChrisVanHollen
"Warner, Mark R.",VA,D,SenatorWarner
"Warner, Mark R.",VA,D,MarkWarner
"Warnock, Raphael G.",GA,D,ReverendWarnock
"Warnock, Raphael G.",GA,D,SenatorWarnock
"Warren, Elizabeth",MA,D,elizabethforma
"Warren, Elizabeth",MA,D,SenWarren
"Whitehouse, Sheldon",RI,D,SheldonforRI
"Whitehouse, Sheldon",RI,D,SenWhitehouse
"Wicker, Roger F.",MS,R,RogerWicker
"Wicker, Roger F.",MS,R,SenatorWicker
"Wyden, Ron",OR,D,WydenForOregon
"Wyden, Ron",OR,D,RonWyden
"Young, Todd",IN,R,ToddYoungIN
"Young, Todd",IN,R,SenToddYoung
